feature,Mon_B1,Tre_B1,Mon_B2,Tre_B2,Mon_B3,Tre_B3,Mon_B4,Tre_B4,Mon_mean,Tre_mean,Quality,rank
ch3_high_band,0.4239999999999966,0.772862392200975,0.07964601769911435,0.8152811810210406,0.29545454545454214,0.3420837589376916,0.044117647058823206,0.6791401422517594,0.21080455255311908,0.6523418686028667,0.4315732105779929,1
ch4_high_band,0.23199999999999815,0.6791181102362205,0.061946902654866715,0.7386687187379762,0.09090909090908988,0.6899557371467485,0.0,0.8621679392163084,0.0962139983909887,0.7424776263343134,0.419345812362651,2
ch3_std,0.05599999999999956,0.6830236220472441,0.15044247787610487,0.8460541503817258,0.02272727272727247,0.8299114742934969,0.058823529411764275,0.6679485504135008,0.0719983200037853,0.7567344492839918,0.41436638464388853,3
ch3_total_power,0.03999999999999968,0.6831316085489314,0.13274336283185723,0.8462647577003302,0.02272727272727247,0.8307797071842016,0.07352941176470534,0.667425840536151,0.06725001183095868,0.7569004784924035,0.4120752451616811,4
ch3_rms,0.05599999999999956,0.6834975628046496,0.15044247787610487,0.8439561774771674,0.0,0.8281579843377597,0.058823529411764275,0.6677945376817817,0.06631650182196717,0.7558515655753396,0.4110840336986534,5
ch3_energy,0.05599999999999956,0.6834975628046496,0.15044247787610487,0.8439561774771674,0.0,0.8281579843377597,0.058823529411764275,0.6677945376817817,0.06631650182196717,0.7558515655753396,0.4110840336986534,6
ch3_p2p,0.02399999999999981,0.698363704536933,0.15044247787610487,0.7491099815718597,0.06818181818181741,0.7476506639427989,0.10294117647058748,0.39166371086676494,0.08639136813212739,0.6466970152295891,0.3665441916808583,7
ch4_total_power,0.02399999999999981,0.6373933258342709,0.1681415929203525,0.6663170045159069,0.02272727272727247,0.5812734082397004,0.044117647058823206,0.724349879590046,0.06474662817661199,0.6523334045449811,0.3585400163607966,8
ch4_std,0.007999999999999936,0.63777727784027,0.1681415929203525,0.6663251047973918,0.04545454545454494,0.5818181818181819,0.029411764705882137,0.7241631974909926,0.06275197577019487,0.6525209404867092,0.357636458128452,9
ch4_energy,0.007999999999999936,0.63777727784027,0.1681415929203525,0.6656041797452462,0.04545454545454494,0.5817671092951993,0.029411764705882137,0.7237431627681221,0.06275197577019487,0.6522229324122094,0.35748745409120214,10
ch4_rms,0.007999999999999936,0.63777727784027,0.1681415929203525,0.6656041797452462,0.04545454545454494,0.5817671092951993,0.029411764705882137,0.7237431627681221,0.06275197577019487,0.6522229324122094,0.35748745409120214,11
