file_idx,time_sec,bearing_id,ch1_rms,ch1_peak,ch1_p2p,ch1_std,ch1_skewness,ch1_kurtosis,ch1_crest_f,ch1_shape_f,ch1_impulse_f,ch1_energy,ch1_kurt_rms,ch1_total_power,ch1_low_band,ch1_mid_band,ch1_high_band,ch1_bhigh_band,ch1_mean_freq,ch1_freq_std,ch1_spectral_entropy,ch2_rms,ch2_peak,ch2_p2p,ch2_std,ch2_skewness,ch2_kurtosis,ch2_crest_f,ch2_shape_f,ch2_impulse_f,ch2_energy,ch2_kurt_rms,ch2_total_power,ch2_low_band,ch2_mid_band,ch2_high_band,ch2_bhigh_band,ch2_mean_freq,ch2_freq_std,ch2_spectral_entropy,ch3_rms,ch3_peak,ch3_p2p,ch3_std,ch3_skewness,ch3_kurtosis,ch3_crest_f,ch3_shape_f,ch3_impulse_f,ch3_energy,ch3_kurt_rms,ch3_total_power,ch3_low_band,ch3_mid_band,ch3_high_band,ch3_bhigh_band,ch3_mean_freq,ch3_freq_std,ch3_spectral_entropy,ch4_rms,ch4_peak,ch4_p2p,ch4_std,ch4_skewness,ch4_kurtosis,ch4_crest_f,ch4_shape_f,ch4_impulse_f,ch4_energy,ch4_kurt_rms,ch4_total_power,ch4_low_band,ch4_mid_band,ch4_high_band,ch4_bhigh_band,ch4_mean_freq,ch4_freq_std,ch4_spectral_entropy
1,0,4,0.21974355089284878,7.31586558837416,10.817287964520975,0.2177650111390168,-1.224530855726672,18.05528244810951,32.0482331497951,1.3561840635389983,43.86120617271125,76650.78095675758,0.03466771713992361,0.007850653720822432,0.022247117863560845,0.11882094584790343,0.66012701967129,0.20670619698152043,6042.27545804923,2971.955373767299,6.752982436369324,0.4408421553479509,10.336229578253857,14.054693077143437,0.44055800784095717,-0.37016857995620306,4.776285865175014,19.928971111191085,1.2826095206535522,25.553667660227738,336976.2553311754,0.2544187055640857,0.03503940645981933,0.03591712583992457,0.7261867635409962,0.1933516162041673,0.05808321625027115,2362.2983497142586,2646.2850476037956,5.638421327912604,0.36203955894019174,26.056322626650925,51.082227952741796,0.36196969217121344,-3.1316709391385804,364.7343747094752,56.187771899411,1.6801306700877152,96.31246387552149,844989.4262832849,2895.870284010711,0.08632722639517314,0.04044531301586851,0.1517861092309436,0.4484130714564013,0.37177524158837405,6397.248069829843,3388.745482894311,7.299167386729657,0.378717845518051,26.89783604270208,47.27651088398599,0.37814693892298856,-1.895267304376226,293.0360960265018,45.672337042141024,1.5223547435386786,68.44961109371205,2054075.7278683176,28565.191605394557,0.18794306461187138,0.06635403172388493,0.2728200718226686,0.4345784864590082,0.25745337150193165,5354.1817095379065,3385.654433853105,6.952177782638463
2,600,4,0.21962479162854592,7.321733248881774,11.072432235043252,0.21768556311217413,-1.2678463934848434,18.83722948918174,31.75819010475844,1.3571907187793975,43.44537000025433,76586.14392976498,0.03767098306059182,0.007849326482596357,0.024513283942953996,0.11985949443303703,0.6571664265309061,0.2066246507073855,6030.478355640076,2991.306199648685,6.777625799716802,0.4429604806899315,10.222711390935443,14.125070774010108,0.4426716933847792,-0.3694195432573451,4.77258633936947,19.91007311887202,1.2824909003468299,25.548976665839653,338320.16221003653,0.2619398800032489,0.03518346065562715,0.03818605019883819,0.7286415839240943,0.18719391188946768,0.05822205427363409,2335.797355923868,2647.5745998991347,5.642879492919889,0.3670799623585842,25.672773497884602,51.313027169188224,0.3670166912944467,-3.154343267544944,364.79943482070627,56.21904585896948,1.6634004292406084,95.41059503905285,848477.8866886804,2896.001695992691,0.08671601151085576,0.04166341389154441,0.156440609158728,0.4425406387656152,0.37166975890786724,6429.14491126362,3366.875192154725,7.299440645207725,0.3908302405283006,26.457885512485547,47.7118990548845,0.3902756140178811,-1.8762937722724176,292.4754635796976,43.9797363391347,1.5049030503944973,65.91422626136308,2082828.6617416786,28565.476758616544,0.1905460906673982,0.0852143768794218,0.2738705638044063,0.41542813508189314,0.25031840687429574,5222.3838773682655,3461.7885416231616,6.926518652624244
3,1200,4,0.224015264891459,7.342038019718419,11.253710106598646,0.22200889194907567,-1.3669721021810548,20.22765747086726,31.083913463285835,1.3625944338621898,42.36750743507519,79019.92947660055,0.04790848381836473,0.00809349329795556,0.024620080263662136,0.12255388237844964,0.6497906088913836,0.20734693189825218,6026.077557538894,3009.56119973362,6.838609867478814,0.44510071217307806,9.613615194461019,14.223059053294428,0.4447772088725215,-0.3768989421477277,4.654161397023388,18.734429246155706,1.2834689492460991,23.997967267233328,339721.1265670912,0.2857623780486676,0.035321895552986246,0.03773426741570292,0.7276249290841479,0.18750588185596112,0.05803977550698102,2346.6991794313512,2648.3175143061753,5.638700057964449,0.37911277648026265,27.097574015666698,53.05415044014497,0.37901930206517487,-3.118245560039167,364.6306502424065,56.15987837221115,1.693027743024633,97.12084433738238,857189.103072078,2896.801047340615,0.08763629177582674,0.04132411892804811,0.15767377590666493,0.4411752402672636,0.3717584812484477,6422.798547652159,3367.706698901896,7.299021991220087,0.4118443344866331,28.233287640015657,50.5657609119593,0.41121122301174795,-1.93231622762609,295.501288882858,47.55566007186428,1.545590194406337,71.42081347979816,2134593.324679602,28567.072690862322,0.1949798764294886,0.07789138884151114,0.273556513405629,0.41440848973850697,0.2608392433318273,5279.265101190045,3459.2581250093995,6.9562465056053595
4,1800,4,0.22458758682865,6.989683879489907,10.889853334725613,0.22262231634062474,-1.0872090857822516,15.298245042999234,31.667394711469413,1.3454035113244192,42.612584015678,78209.37905497332,0.03403790620328038,0.008006890991517423,0.021753713251233046,0.11365262089919667,0.6725364343805437,0.2006340976106625,6049.441907976978,2982.9129166638522,6.890625089190154,0.41857030127431266,7.723060160672898,12.205331758462629,0.4181924868825356,-0.4803387593752143,5.585146866977303,19.617684499706158,1.2786780000945146,25.374856372594255,285146.2941902742,0.08813469645018691,0.029610484864671504,0.04753953952945678,0.7182480972457559,0.18405561762591105,0.05784909214515163,2362.6981928221694,2735.5516560605342,5.671028363228582,0.3131438831748756,21.41979197003128,38.76021946206589,0.313086139417213,-3.667486851198519,348.04370578954035,49.9700517153365,1.6141989632103253,81.54122279163987,240584.32693359797,187.32014987551534,0.02494596202013989,0.04070943846701716,0.17796478293861434,0.4735533935473836,0.3206314545768883,6311.527902968463,3326.7501619362233,7.293819165013293,0.4184687901164912,16.619976276976594,28.078211129113303,0.41832620060980663,-2.071659508057885,205.71948651710346,38.32959440493511,1.3965366501663852,47.65051607467145,343128.2820199674,102.00054925794034,0.035948778323856075,0.07020946250253665,0.3653447173032971,0.4129852641254146,0.17835495540413626,4968.403531115926,3632.328949765345,6.958838996856244
5,2400,4,0.22087726,6.0786247,10.122204,0.21885188,-1.0192670871944056,13.68772937416792,27.520373650722725,1.3430512955087084,36.96127348465421,74936.48,0.032578826332322,0.0076679904,0.0183269494071035,0.1011102419123659,0.7142611801034207,0.1662787719669926,5928.22434749406,2831.9386105384474,6.905077,0.37372413,6.9705963,11.301613,0.3733517,-0.3182884228306298,2.8089203291315386,18.651715803514996,1.2796603804578313,23.867861741381205,214532.7,0.0547953862254946,0.022321425,0.0305049086772711,0.7026819876377953,0.2121139472075727,0.0546889159805949,2480.4603250229134,2776.1750319956504,5.68964,0.21739228,8.080292,13.6024475,0.21730149,-4.594036489035457,86.55923840750006,37.16917510627432,1.5796176530056525,58.71308514579923,72590.445,0.1933258382457335,0.007575727,0.0464699923104237,0.174204010733824,0.5169894428821988,0.2622845331962657,5936.845152358347,3332.0484719772053,7.3341923,0.31279784,8.503532,14.289188,0.31263033,-1.4596200103533852,19.829515031454527,27.185393255128485,1.3582262774357916,36.92391548165928,150286.06,0.1898309840200133,0.015663601,0.0528612587743735,0.3474238797818279,0.4750396939667699,0.1246497417907961,4282.052509586942,3220.2578180753253,6.814289
6,3000,4,0.22601296,6.3228607,10.201454,0.223911,-1.2842264302319175,17.698191435359096,27.97565553590388,1.3566579937516212,37.95339671339372,78461.73,0.0461808860682019,0.008025271,0.019916493282532,0.1092333715655185,0.6925816654428955,0.1782429152892489,5961.007699645503,2897.2626281841685,6.9506884,0.39534652,7.1487427,11.513519,0.3949738,-0.3507178787326981,3.1603413106783,18.08221970338632,1.2803819826456408,23.15214831451441,240075.06,0.0772050448519975,0.024964282,0.0306366184093688,0.7176918025375748,0.1947585605905661,0.0569018312249074,2415.943533430145,2768.1279534340306,5.6501155,0.22998664,9.553719,15.625858,0.22989109,-4.987133664970517,95.13405661074547,41.54032015496632,1.604328299460115,66.64431119353563,81244.95,0.2661622341177342,0.008465489,0.04535315189651,0.1795158832539119,0.5031093263796903,0.2719678758720511,5923.928820791616,3366.2447742373665,7.345088,0.32967874,8.850193,15.355778,0.32950962,-1.604375815507524,21.9481264700933,26.84490032384198,1.366585752171407,36.685858301135326,166944.89,0.2592753578086914,0.017384987,0.0510055070183381,0.3595014364188796,0.4594306269177808,0.1300347436801468,4236.036773365064,3252.5388655185466,6.8019876
7,3600,4,0.22893946,6.7029,10.100269,0.22689289,-1.2856568955994736,17.38435631729865,29.27804568980161,1.3567312031988323,39.72243815620843,80506.79,0.0477574601192593,0.008233862,0.0197972386884648,0.1111730664644086,0.6913209437595365,0.1776842876449645,5949.599237263278,2893.755261965406,6.969107,0.404177,6.709957,10.489655,0.4037891,-0.3584033942617672,3.058402092473784,16.60153090300886,1.2842376766671038,21.320311476049973,250919.5,0.0816170718134508,0.026076045,0.0277823955110503,0.7234008858629382,0.1921372737608528,0.0566689131781114,2399.299744617523,2759.813103446975,5.630558,0.2354189,8.652401,13.483906,0.23532209,-4.9052161037456665,90.30236375051436,36.75321284432249,1.6004268224813505,58.820827648669656,85128.28,0.2773731567970726,0.008849797,0.0438435757265165,0.1821704565494786,0.5013490279833268,0.2725870114358842,5918.957511074859,3361.304135672789,7.347705,0.33673468,8.946991,13.774204,0.336549,-1.5820521612044187,21.069291868135466,26.56985287374352,1.3662420137579143,36.30084929558266,174167.4,0.2708952166304145,0.018104227,0.0470040316825506,0.3664228885805954,0.4566143597968007,0.1299333909963722,4223.707934826117,3253.118633529927,6.8033347
8,4200,4,0.23813987,9.209919,13.328648,0.23609364,-1.4841297359554544,22.941557012140315,38.674410385578526,1.379652041633746,53.35722924766883,87107.48,0.0737821526942485,0.008918248,0.0202206029183366,0.1071494837020942,0.678338298501951,0.1942613777124786,6041.496297809072,2908.586000760373,7.030836,0.3930597,9.873867,15.148544,0.39261824,-0.4856766124025876,4.865832985100842,25.120527534653743,1.291289605105111,32.43787608033763,237305.77,0.1161425279737835,0.024681559,0.032161625804091,0.6822894085225198,0.2021293262647458,0.0834023574070465,2682.37986976494,3029.175554239373,5.8812532,0.24739689,11.586761,17.856216,0.24727413,-5.1651886646489205,101.0763961551156,46.8347101920682,1.6373024946517285,76.68258783407396,94011.21,0.378640152776565,0.009790748,0.0436248589285565,0.176913079507565,0.4919783964394941,0.2874268410898341,5976.947599995235,3371.668554387425,7.3670425,0.34425527,11.333752,17.860603,0.34405622,-1.804042595548773,26.44272499697561,32.92252207319662,1.385764069957255,45.62284818154303,182033.97,0.3713886186941394,0.018941319,0.0463278661005886,0.3441060530293027,0.4648598201178253,0.1446742825182594,4370.631330495916,3287.975897373083,6.872431
9,4800,4,0.23393564,7.041359,11.614227,0.23181836,-1.4086432382236207,19.89337054166274,30.09955631357102,1.373823130258027,41.35146667426466,84058.95,0.0595790991534224,0.008592691,0.0192691858724908,0.1109433846387573,0.6859375967896537,0.1838224415512711,6021.045222684861,2891.6619915897704,6.9891124,0.40763545,7.9704285,13.087273,0.40720955,-0.396758826859099,3.5066258469007527,19.552834425162317,1.2862730966225109,25.15028488386245,255231.97,0.0968227052289366,0.026504394,0.0266586775939912,0.7190766774916866,0.1886634067978448,0.06558756044791,2467.387423639085,2855.1773969987635,5.5820827,0.24497238,9.739494,15.139294,0.24487177,-4.894674657904361,90.60926373183892,39.7575204298084,1.601752710990874,63.68171613098063,92177.62,0.3263180323426307,0.009586966,0.0396619812457767,0.1827892972811084,0.4965603987698009,0.2809331444288943,5957.901595269572,3356.372655167668,7.3500853,0.34629413,9.412098,15.687847,0.34611425,-1.634184663846174,21.880662442836705,27.17948987156453,1.369305144718637,37.21701531206888,184196.56,0.3146596174289545,0.019153398,0.0426374346927656,0.3600499644756607,0.4608565266646108,0.1364275011982761,4287.902920450967,3271.504943390866,6.779104
10,5400,4,0.20736492,9.761524,14.912415,0.20509237,-1.979480862827455,34.56184637026786,47.07413554308622,1.4177464960250858,66.73919071994229,66048.32,0.0639054743227264,0.0067362646,0.0250749441688895,0.0943015123303101,0.6419857211999422,0.2385833647855025,6615.836846589191,3003.6029746964605,6.8076825,0.26435542,10.079861,15.454197,0.26368567,-1.4291063406779332,21.250738290049902,38.12995642972011,1.3589662273620788,51.81732303897319,107341.51,0.103783163827677,0.011123699,0.0570534439010527,0.4151624152411346,0.3867470150517431,0.1410053105282566,4220.393385487546,3591.7578858385145,6.810995,0.2331123,11.264324,17.631435,0.23301476,-5.583516991308773,113.09496297111994,48.32144819091536,1.6761026063095434,80.99170525379225,83468.31,0.3339673883822048,0.008709848,0.0434631695538525,0.1603788330129564,0.5070428890040392,0.2890571535900307,6183.851124814776,3350.805692446745,7.3055725,0.27335584,10.834885,17.5313,0.27311745,-3.305321101404663,59.28565827959314,39.63655789700185,1.4999265759833291,59.45192657043245,114775.164,0.3310267448126088,0.011959921,0.0840809790281832,0.2442745279746093,0.4658837378941676,0.2057145974007607,5266.658854161355,3489.6475856706097,7.2206297
