feature,Mon_before,Tre_before,Q_before,Mon_after,Tre_after,Q_after,Mon_delta,Tre_delta,Q_delta,rank_after
ch4_high_band,0.0962,0.7425,0.4193,0.0881,0.8288,0.4584,-0.0081,0.0863,0.0391,1
ch3_high_band,0.2108,0.6523,0.4316,0.1817,0.7119,0.4468,-0.0291,0.0595,0.0152,2
ch4_std,0.0628,0.6525,0.3576,0.078,0.7445,0.4112,0.0152,0.092,0.0536,3
ch4_rms,0.0628,0.6522,0.3575,0.078,0.7441,0.411,0.0152,0.0919,0.0536,4
ch3_std,0.072,0.7567,0.4144,0.1018,0.6931,0.3974,0.0298,-0.0637,-0.0169,5
ch3_rms,0.0663,0.7559,0.4111,0.0961,0.6921,0.3941,0.0298,-0.0637,-0.017,6
ch4_p2p,0.105,0.575,0.34,0.1074,0.6515,0.3794,0.0024,0.0765,0.0394,7
ch4_energy,0.0628,0.6522,0.3575,0.0763,0.6817,0.379,0.0135,0.0295,0.0215,8
ch4_total_power,0.0647,0.6523,0.3585,0.0723,0.682,0.3771,0.0075,0.0297,0.0186,9
ch3_total_power,0.0673,0.7569,0.4121,0.0869,0.6544,0.3706,0.0197,-0.1025,-0.0414,10
ch3_energy,0.0663,0.7559,0.4111,0.088,0.6491,0.3686,0.0217,-0.1067,-0.0425,11
ch3_mean_freq,0.1459,0.4982,0.3221,0.1565,0.5772,0.3669,0.0106,0.079,0.0448,12
ch4_peak,0.0793,0.5671,0.3232,0.0711,0.6392,0.3552,-0.0082,0.0721,0.0319,13
ch3_bhigh_band,0.0641,0.5679,0.316,0.1049,0.586,0.3455,0.0408,0.0181,0.0295,14
ch3_mid_band,0.1523,0.4099,0.2811,0.1351,0.5511,0.3431,-0.0172,0.1412,0.062,15
ch2_rms,0.0414,0.449,0.2452,0.047,0.6391,0.343,0.0056,0.19,0.0978,16
ch4_mean_freq,0.1245,0.5295,0.327,0.1015,0.5814,0.3415,-0.023,0.0519,0.0144,17
ch2_std,0.0471,0.4483,0.2477,0.0329,0.6384,0.3357,-0.0142,0.1901,0.088,18
