file_idx,time_sec,hi_obs,x_filt,P_filt,cond,rpm
1,0,0.0,0.010718332060367958,0.0018591906698916688,0,673.4
2,600,5.63116e-07,0.018047428709836826,0.0026337049341871453,0,733.9166666666666
3,1200,0.0,0.022066924158235877,0.0029016617788332278,0,737.75
4,1800,0.0,0.02416282457275641,0.0029863774937169785,0,775.0
5,2400,0.0,0.02316825501736004,0.0030123853535863224,1,972.1666666666666
6,3000,0.0,0.022629631908057023,0.0030202973914278453,1,970.5833333333334
7,3600,1.7822796e-06,0.022337052556052568,0.003022697685865824,1,966.3333333333334
8,4200,0.0,0.02217621111698677,0.0030234252545223855,1,962.3333333333334
9,4800,0.0,0.022087992774003834,0.0030236457360750865,1,958.0
10,5400,0.0,0.0220395305470101,0.0030237125453624492,1,957.5833333333334
11,6000,1.4258175e-07,0.024064197099728547,0.0030237327891238083,0,725.1666666666666
12,6600,2.036015e-06,0.02517953126947172,0.003023738923105632,0,729.1666666666666
13,7200,2.0981467e-07,0.025792651455695,0.00302374078173512,0,731.8333333333334
14,7800,0.0,0.02613005315223683,0.003023741344909484,0,735.4166666666666
15,8400,0.0,0.02631577847504905,0.0030237415155542004,0,738.3333333333334
16,9000,5.4149484e-07,0.02641825592560737,0.00302374156726042,0,738.25
17,9600,1.1518109e-06,0.024423723892544748,0.0030237415829276683,1,979.4166666666666
18,10200,0.0,0.02332529803034396,0.0030237415876749247,1,970.4166666666666
19,10800,2.767724e-05,0.022733101701062942,0.003023741589113367,1,970.0
20,11400,2.5126396e-06,0.022395809390714692,0.0030237415895492223,1,973.1666666666666
21,12000,4.4052565e-05,0.022228817708357773,0.003023741589681289,1,971.4166666666666
22,12600,3.0170771e-05,0.02213065520057478,0.0030237415897213056,1,969.3333333333334
23,13200,4.1929972e-05,0.024133122967577303,0.003023741589733431,0,729.8333333333334
24,13800,0.000100080055,0.025261540190123475,0.003023741589737105,0,727.4166666666666
25,14400,4.7301597e-05,0.025858961508158244,0.0030237415897382183,0,726.3333333333334
26,15000,6.1903897e-06,0.026169336266911224,0.0030237415897385552,0,728.1666666666666
27,15600,2.916581e-05,0.026350513235771304,0.003023741589738657,0,728.3333333333334
28,16200,1.8840996e-05,0.026445602298486366,0.0030237415897386892,0,732.1666666666666
29,16800,6.441146e-06,0.024441154728076064,0.0030237415897386983,1,976.0
30,17400,7.2777516e-06,0.023338164640580923,0.0030237415897387005,1,975.0833333333334
31,18000,5.5009834e-05,0.02275247136476087,0.003023741589738702,1,977.0
32,18600,8.4167135e-05,0.022443178641253697,0.0030237415897387022,1,979.75
33,19200,9.517055e-05,0.0222778721693244,0.003023741589738703,1,978.3333333333334
34,19800,0.00011720593,0.022196783541726436,0.003023741589738703,1,980.0
35,20400,0.00052091014,0.024384845136105296,0.003023741589738703,0,733.1666666666666
36,21000,0.00027360476,0.025478109392026202,0.003023741589738703,0,732.9166666666666
37,21600,1.1057371e-05,0.0259618807051578,0.003023741589738703,0,732.8333333333334
38,22200,6.7294636e-06,0.026226231399493476,0.003023741589738703,0,727.9166666666666
39,22800,9.522841e-06,0.026373001352033583,0.003023741589738703,0,729.0
40,23400,8.710967e-06,0.02645342722091064,0.003023741589738703,0,727.8333333333334
41,24000,9.284014e-06,0.024446740012527265,0.003023741589738703,1,965.5833333333334
42,24600,3.4880744e-05,0.023353647787962964,0.003023741589738703,1,965.4166666666666
43,25200,4.4543944e-05,0.022756289355449322,0.003023741589738703,1,968.0
44,25800,0.0001326958,0.022467095914059203,0.003023741589738703,1,966.3333333333334
45,26400,9.885827e-05,0.022292695427203035,0.003023741589738703,1,965.3333333333334
46,27000,0.00011703466,0.02220486614488438,0.003023741589738703,1,958.4166666666666
47,27600,4.060236e-05,0.02417337623297366,0.003023741589738703,0,725.8333333333334
48,28200,7.9781385e-06,0.025242294372818865,0.003023741589738703,0,725.6666666666666
49,28800,7.6787603e-07,0.0258274486589189,0.003023741589738703,0,727.0
50,29400,1.6330534e-05,0.026156548146619656,0.003023741589738703,0,727.0
51,30000,6.3585656e-05,0.026358947032171988,0.003023741589738703,0,729.5833333333334
52,30600,3.5873254e-05,0.026457901456153142,0.003023741589738703,0,728.75
53,31200,1.84784e-05,0.024453336149409276,0.003023741589738703,1,959.0
54,31800,2.071213e-05,0.023350909317602135,0.003023741589738703,1,972.25
55,32400,8.6153865e-05,0.022773487305946742,0.003023741589738703,1,975.6666666666666
56,33000,0.00014501838,0.022482102183923845,0.003023741589738703,1,976.0
57,33600,0.0001958918,0.022344576315415348,0.003023741589738703,1,971.6666666666666
58,34200,0.00027448768,0.022304206038651943,0.003023741589738703,1,974.3333333333334
59,34800,0.00016823919,0.022234220800697244,0.003023741589738703,1,943.9166666666666
60,35400,2.8966992e-05,0.02418430419124485,0.003023741589738703,0,734.3333333333334
61,36000,1.8222807e-05,0.025252915164256467,0.003023741589738703,0,731.1666666666666
62,36600,1.0290685e-05,0.02583757586227904,0.003023741589738703,0,728.4166666666666
63,37200,6.598323e-06,0.02615774772876471,0.003023741589738703,0,727.8333333333334
64,37800,5.327102e-06,0.026333417743487512,0.003023741589738703,0,731.4166666666666
