feature,Mon_bef,Tre_bef,Q_bef,Mon_aft,Tre_aft,Q_aft,dQ,rank
ch4_high_band,0.0962,0.7425,0.4193,0.0956,0.8153,0.4554,0.0361,1
ch3_high_band,0.2108,0.6523,0.4316,0.2038,0.6898,0.4468,0.0152,2
ch3_rms,0.0663,0.7559,0.4111,0.0707,0.7263,0.3985,-0.0126,3
ch3_std,0.072,0.7567,0.4144,0.065,0.7273,0.3962,-0.0182,4
ch3_energy,0.0663,0.7559,0.4111,0.0743,0.6919,0.3831,-0.028,5
ch3_total_power,0.0673,0.7569,0.4121,0.0595,0.6982,0.3788,-0.0333,6
ch4_std,0.0628,0.6525,0.3576,0.0692,0.6828,0.376,0.0184,7
ch4_rms,0.0628,0.6522,0.3575,0.0692,0.6825,0.3758,0.0184,8
ch4_total_power,0.0647,0.6523,0.3585,0.0785,0.668,0.3733,0.0147,9
ch4_bhigh_band,0.0813,0.5666,0.3239,0.1376,0.6016,0.3696,0.0457,10
ch4_energy,0.0628,0.6522,0.3575,0.0765,0.6616,0.3691,0.0116,11
ch3_p2p,0.0864,0.6467,0.3665,0.1048,0.5947,0.3497,-0.0168,12
ch3_bhigh_band,0.0641,0.5679,0.316,0.0962,0.5887,0.3425,0.0265,13
ch3_mean_freq,0.1459,0.4982,0.3221,0.1468,0.5124,0.3296,0.0076,14
ch1_energy,0.1411,0.4479,0.2945,0.2074,0.4505,0.329,0.0345,15
ch4_freq_std,0.0918,0.5094,0.3006,0.1571,0.4952,0.3262,0.0256,16
ch4_p2p,0.105,0.575,0.34,0.0865,0.5624,0.3244,-0.0156,17
ch1_total_power,0.1339,0.4463,0.2901,0.1945,0.4495,0.322,0.0319,18
ch1_std,0.1455,0.4439,0.2947,0.1421,0.5001,0.3211,0.0265,19
ch1_rms,0.1411,0.4479,0.2945,0.1377,0.5027,0.3202,0.0257,20
ch3_mid_band,0.1523,0.4099,0.2811,0.129,0.5035,0.3162,0.0352,21
ch3_peak,0.0722,0.6241,0.3482,0.0749,0.5462,0.3106,-0.0376,22
ch4_mean_freq,0.1245,0.5295,0.327,0.1392,0.4762,0.3077,-0.0193,23
ch2_rms,0.0414,0.449,0.2452,0.076,0.5377,0.3069,0.0616,24
ch1_spectral_entropy,0.0791,0.4737,0.2764,0.0876,0.5211,0.3044,0.028,25
ch2_std,0.0471,0.4483,0.2477,0.0703,0.5372,0.3038,0.0561,26
ch4_peak,0.0793,0.5671,0.3232,0.0531,0.5386,0.2958,-0.0274,27
ch2_high_band,0.1079,0.3937,0.2508,0.0761,0.4965,0.2863,0.0355,28
ch1_mid_band,0.0731,0.3562,0.2147,0.0937,0.4635,0.2786,0.064,29
ch2_mean_freq,0.1171,0.3674,0.2423,0.0747,0.4671,0.2709,0.0286,30
ch4_mid_band,0.0987,0.3978,0.2482,0.056,0.4839,0.27,0.0217,31
ch2_freq_std,0.0987,0.2871,0.1929,0.1392,0.3926,0.2659,0.073,32
ch2_energy,0.0414,0.449,0.2452,0.1314,0.3894,0.2604,0.0151,33
ch2_mid_band,0.1019,0.2816,0.1918,0.1117,0.4055,0.2586,0.0668,34
ch2_total_power,0.0444,0.4474,0.2459,0.1204,0.3884,0.2544,0.0085,35
ch4_spectral_entropy,0.1643,0.3315,0.2479,0.0935,0.4096,0.2515,0.0036,36
ch3_shape_f,0.0517,0.4209,0.2363,0.0753,0.4187,0.247,0.0107,37
ch1_high_band,0.0835,0.3863,0.2349,0.1029,0.3735,0.2382,0.0033,38
ch2_bhigh_band,0.0843,0.2271,0.1557,0.1042,0.368,0.2361,0.0804,39
ch1_shape_f,0.1398,0.3021,0.221,0.0923,0.3787,0.2355,0.0145,40
ch3_kurt_rms,0.0903,0.5774,0.3338,0.0769,0.368,0.2224,-0.1114,41
ch1_kurtosis,0.1251,0.259,0.192,0.0956,0.3404,0.218,0.026,42
ch4_kurt_rms,0.1061,0.5644,0.3353,0.0965,0.3367,0.2166,-0.1187,43
ch2_spectral_entropy,0.0746,0.2452,0.1599,0.0833,0.3406,0.2119,0.052,44
ch1_mean_freq,0.1256,0.329,0.2273,0.0675,0.342,0.2048,-0.0226,45
ch3_low_band,0.1124,0.3033,0.2079,0.1234,0.2794,0.2014,-0.0065,46
ch2_shape_f,0.0958,0.2359,0.1659,0.0689,0.3265,0.1977,0.0318,47
ch3_kurtosis,0.052,0.4133,0.2327,0.0523,0.3428,0.1976,-0.0351,48
ch1_p2p,0.0511,0.4404,0.2457,0.0642,0.3305,0.1973,-0.0484,49
ch1_peak,0.0404,0.4336,0.237,0.0694,0.3236,0.1965,-0.0405,50
ch1_crest_f,0.065,0.3126,0.1888,0.0842,0.3075,0.1959,0.0071,51
ch3_spectral_entropy,0.0593,0.3598,0.2096,0.0702,0.3163,0.1933,-0.0163,52
ch1_freq_std,0.1063,0.3044,0.2053,0.0681,0.3158,0.1919,-0.0134,53
ch1_impulse_f,0.0423,0.3054,0.1738,0.0692,0.3135,0.1913,0.0175,54
ch4_shape_f,0.0982,0.2529,0.1756,0.1017,0.2716,0.1866,0.0111,55
ch2_peak,0.0567,0.3688,0.2128,0.08,0.2817,0.1809,-0.0319,56
ch4_kurtosis,0.1341,0.27,0.202,0.0933,0.2659,0.1796,-0.0224,57
ch3_freq_std,0.1443,0.2284,0.1864,0.1329,0.2241,0.1785,-0.0079,58
ch1_bhigh_band,0.1068,0.1746,0.1407,0.1135,0.2253,0.1694,0.0287,59
ch2_p2p,0.0156,0.388,0.2018,0.0651,0.2719,0.1685,-0.0333,60
ch4_impulse_f,0.0256,0.2134,0.1195,0.0425,0.2831,0.1628,0.0433,61
ch4_crest_f,0.0256,0.2102,0.1179,0.0393,0.2849,0.1621,0.0442,62
ch1_kurt_rms,0.0591,0.4323,0.2457,0.0634,0.2533,0.1584,-0.0873,63
ch2_crest_f,0.059,0.2405,0.1498,0.0662,0.2435,0.1549,0.0051,64
ch2_impulse_f,0.059,0.2419,0.1504,0.0711,0.235,0.153,0.0026,65
ch1_low_band,0.0822,0.3205,0.2014,0.0759,0.2285,0.1522,-0.0492,66
ch1_skewness,0.0558,0.249,0.1524,0.0431,0.2568,0.1499,-0.0025,67
ch4_low_band,0.057,0.1217,0.0893,0.0353,0.2525,0.1439,0.0545,68
ch2_kurtosis,0.0673,0.2712,0.1692,0.0393,0.2364,0.1378,-0.0314,69
ch3_impulse_f,0.0544,0.2231,0.1387,0.0901,0.1553,0.1227,-0.016,70
ch3_crest_f,0.0451,0.2053,0.1252,0.0878,0.1417,0.1148,-0.0104,71
ch3_skewness,0.0383,0.1448,0.0915,0.0728,0.1527,0.1127,0.0212,72
ch2_kurt_rms,0.0257,0.4208,0.2232,0.035,0.1702,0.1026,-0.1206,73
ch2_skewness,0.0502,0.1994,0.1248,0.043,0.1516,0.0973,-0.0274,74
ch4_skewness,0.0684,0.1635,0.1159,0.0607,0.1282,0.0945,-0.0215,75
ch2_low_band,0.0391,0.1414,0.0902,0.0728,0.1145,0.0937,0.0034,76
