================================================================================
HI (Health Index) 품질 평가 결과
================================================================================

평가 지표 설명:
  Monotonicity (Mon): 시간에 따른 단조 변화 정도 [0-1], 1이 최고
  Trendability (Tre): 시간과의 Spearman 상관 (절대값) [0-1], 1이 최고
  Prognosability (Pro): 초기/말기 분포 분리도 [0-1], 1이 최고
  Composite: 세 지표의 평균 [0-1]

--------------------------------------------------------------------------------
■ 전체 Run 평균 (Composite 내림차순)
--------------------------------------------------------------------------------
HI                    Mon      Tre      Pro     Comp
------------------------------------------------
FTF_h2             0.1000   0.6431   0.5393   0.4274
BSF_h1             0.0536   0.6396   0.5373   0.4102
BPFI_h2            0.0539   0.6145   0.5548   0.4077
BSF_sb_p           0.0969   0.6005   0.5198   0.4058
BPFO_h3            0.0682   0.5829   0.5234   0.3915
FTF_h3             0.0705   0.6027   0.5012   0.3915
FTF_h1             0.0570   0.5736   0.5226   0.3844
rms                0.0241   0.5803   0.5360   0.3801
std                0.0241   0.5803   0.5360   0.3801
BSF_h2             0.0360   0.5581   0.5195   0.3712
BSF_h3             0.0592   0.5193   0.5264   0.3683
BPFI_sb_m          0.0569   0.5137   0.5119   0.3609
BPFI_h3            0.0926   0.4785   0.5091   0.3601
BPFI_sb_p          0.0369   0.5254   0.5162   0.3595
peak               0.0610   0.5616   0.4557   0.3594
BSF_sb_m           0.0612   0.4934   0.4769   0.3438
BPFO_h2            0.0373   0.4791   0.5088   0.3417
E_low              0.1078   0.5760   0.3310   0.3383
BPFO_sb_m          0.0943   0.4284   0.4782   0.3336
BPFO_h1            0.0657   0.4902   0.4331   0.3297
BPFI_h1            0.0454   0.4534   0.4847   0.3278
E_vhigh            0.0411   0.5497   0.3893   0.3267
E_high             0.0439   0.5342   0.3837   0.3206
E_mid              0.0464   0.5197   0.3537   0.3066
BPFO_sb_p          0.0964   0.3508   0.3934   0.2802
crest              0.0437   0.3595   0.3953   0.2662
impulse            0.0306   0.3465   0.3871   0.2548
margin             0.0309   0.3398   0.3875   0.2528
kurt               0.0336   0.1357   0.3080   0.1591
shape              0.0249   0.1524   0.2753   0.1509
skew               0.0630   0.1388   0.2368   0.1462

--------------------------------------------------------------------------------
■ Train1
--------------------------------------------------------------------------------
HI                    Mon      Tre      Pro     Comp
------------------------------------------------
BPFO_h3            0.1360   0.7678   0.7218   0.5419
BPFI_h2            0.1040   0.7353   0.7315   0.5236
BPFI_sb_m          0.0080   0.7527   0.7544   0.5050
FTF_h3             0.0400   0.7755   0.6800   0.4985
BSF_sb_m           0.0240   0.7417   0.7062   0.4906
BPFI_h3            0.1360   0.6302   0.6486   0.4716
FTF_h2             0.0880   0.6723   0.6438   0.4680
BSF_h1             0.0240   0.7075   0.6462   0.4592
BSF_h2             0.0720   0.6206   0.6811   0.4579
FTF_h1             0.1200   0.5950   0.6364   0.4505
BPFI_sb_p          0.0720   0.5808   0.6820   0.4449
BPFO_h2            0.0560   0.5809   0.6961   0.4443
BSF_h3             0.0400   0.5874   0.6629   0.4301
BSF_sb_p           0.0720   0.5479   0.6514   0.4238
std                0.0080   0.6508   0.6121   0.4236
rms                0.0080   0.6508   0.6121   0.4236
E_high             0.0240   0.6455   0.5999   0.4231
BPFI_h1            0.0400   0.5648   0.6365   0.4138
E_vhigh            0.0080   0.6381   0.5819   0.4093
E_low              0.0720   0.6651   0.4615   0.3995
peak               0.0560   0.7232   0.4109   0.3967
BPFO_h1            0.0080   0.6343   0.5072   0.3832
E_mid              0.0080   0.6003   0.5027   0.3704
BPFO_sb_m          0.0720   0.4748   0.5428   0.3632
BPFO_sb_p          0.0720   0.3686   0.4837   0.3081
crest              0.0080   0.3320   0.3673   0.2358
margin             0.0240   0.2805   0.2898   0.1981
shape              0.0240   0.3630   0.2063   0.1978
impulse            0.0080   0.2944   0.2816   0.1946
kurt               0.0880   0.1373   0.2000   0.1418
skew               0.0240   0.2164   0.1558   0.1321

--------------------------------------------------------------------------------
■ Train2
--------------------------------------------------------------------------------
HI                    Mon      Tre      Pro     Comp
------------------------------------------------
FTF_h3             0.1150   0.8044   0.5152   0.4782
BSF_sb_p           0.1150   0.8170   0.4834   0.4718
BPFO_h1            0.1504   0.7752   0.4658   0.4638
FTF_h2             0.1327   0.7261   0.5321   0.4636
BSF_h1             0.0619   0.7616   0.5257   0.4498
BSF_sb_m           0.1150   0.7266   0.4796   0.4404
rms                0.0442   0.6719   0.5970   0.4377
std                0.0442   0.6719   0.5970   0.4377
peak               0.1504   0.6647   0.4426   0.4193
BSF_h3             0.0619   0.6556   0.4816   0.3997
BPFI_h2            0.0088   0.6672   0.5032   0.3931
FTF_h1             0.0265   0.6552   0.4923   0.3913
BPFO_h3            0.0619   0.6146   0.4880   0.3882
BSF_h2             0.0265   0.6826   0.4492   0.3861
BPFI_sb_p          0.0088   0.6273   0.4566   0.3643
BPFO_sb_m          0.1327   0.4610   0.4609   0.3516
E_low              0.0973   0.6133   0.3097   0.3401
BPFI_h1            0.0973   0.5088   0.4087   0.3383
E_high             0.0619   0.6266   0.3030   0.3305
BPFI_h3            0.0619   0.4975   0.4243   0.3279
E_vhigh            0.0442   0.6210   0.3165   0.3272
BPFI_sb_m          0.0619   0.5066   0.3974   0.3220
impulse            0.0088   0.5121   0.4350   0.3186
crest              0.0088   0.5230   0.4215   0.3178
BPFO_h2            0.0265   0.5123   0.4134   0.3174
margin             0.0088   0.5050   0.4313   0.3150
E_mid              0.0265   0.5899   0.3013   0.3059
BPFO_sb_p          0.1504   0.3098   0.2923   0.2508
kurt               0.0088   0.1833   0.3208   0.1710
skew               0.0796   0.0363   0.3862   0.1674
shape              0.0088   0.0520   0.3574   0.1394

--------------------------------------------------------------------------------
■ Train3
--------------------------------------------------------------------------------
HI                    Mon      Tre      Pro     Comp
------------------------------------------------
FTF_h2             0.0909   0.5746   0.5655   0.4103
BPFI_sb_m          0.1136   0.5239   0.5100   0.3825
BSF_h1             0.1136   0.4958   0.5335   0.3810
BSF_sb_p           0.0682   0.5504   0.5071   0.3752
BPFI_h3            0.1136   0.4492   0.5538   0.3722
BPFI_h2            0.0000   0.5276   0.5624   0.3633
BSF_h3             0.0909   0.4422   0.5262   0.3531
FTF_h3             0.0682   0.5004   0.4840   0.3509
BSF_h2             0.0455   0.4706   0.5327   0.3496
BPFO_sb_m          0.1136   0.4159   0.5109   0.3468
BPFI_sb_p          0.0227   0.4928   0.5239   0.3465
BPFO_h3            0.0455   0.4741   0.4752   0.3316
FTF_h1             0.0227   0.4427   0.5290   0.3315
std                0.0000   0.4767   0.5152   0.3306
rms                0.0000   0.4767   0.5152   0.3306
E_low              0.1591   0.5399   0.2713   0.3234
