file,dei_cnn
1,0.3199774
2,0.29815644
3,0.30712816
4,0.32453495
5,0.33855927
6,0.32862255
7,0.3315554
8,0.32396016
9,0.3230136
10,0.339472
11,0.32386884
12,0.3345672
13,0.31058732
14,0.3259791
15,0.32744968
16,0.31561658
17,0.33247384
18,0.3367074
19,0.3452375
20,0.31471032
21,0.32120413
22,0.33572108
23,0.33424565
24,0.336798
25,0.32580304
26,0.31541866
27,0.31181222
28,0.3155167
29,0.338764
30,0.33611006
31,0.32833755
32,0.33284205
33,0.3323599
34,0.31621984
35,0.3233762
36,0.31322855
37,0.3129872
38,0.3011244
39,0.31002626
40,0.31586832
41,0.32362035
42,0.31962436
43,0.3244597
44,0.31531602
45,0.32492697
46,0.3278999
47,0.33171645
48,0.30895823
49,0.29929608
50,0.31435075
51,0.30602562
52,0.33068818
53,0.32412416
54,0.329732
55,0.3418881
56,0.32179472
57,0.33609122
58,0.3340581
59,0.33451027
60,0.29939693
61,0.31492826
62,0.3188247
63,0.31653637
64,0.32660466
65,0.30200046
66,0.32564476
67,0.31982005
68,0.34701365
69,0.33377308
70,0.32824647
71,0.32448167
72,0.31607288
73,0.32342425
74,0.33118206
75,0.3223876
76,0.30629054
77,0.3218841
78,0.32847852
79,0.32627332
80,0.33431908
81,0.3425202
82,0.327983
83,0.32761493
84,0.31069416
85,0.32314306
86,0.3267256
87,0.32936028
88,0.31690377
89,0.32656667
90,0.34498304
91,0.3401869
92,0.33933872
93,0.3404628
94,0.34042686
95,0.34121245
96,0.32765335
97,0.32623294
98,0.32308704
99,0.32702333
100,0.3495137
101,0.34033045
102,0.35625404
103,0.33896467
104,0.33951923
105,0.3468635
106,0.3348963
107,0.3406504
108,0.33709773
109,0.35646898
110,0.34863964
111,0.3556891
112,0.35073036
113,0.346556
114,0.341402
