file,HI_CNN
1,0.26126584
2,0.27137378
3,0.2738603
4,0.2567403
5,0.3006475
6,0.3455534
7,0.36020127
8,0.3334311
9,0.34178215
10,0.30473632
11,0.27033484
12,0.28519246
13,0.2848085
14,0.35700044
15,0.41291562
16,0.3681933
17,0.33043438
18,0.34387538
19,0.3403055
20,0.30353114
21,0.37780383
22,0.26703328
23,0.31053615
24,0.36037976
25,0.30916724
26,0.30330604
27,0.3114808
28,0.32090098
29,0.3328186
30,0.33995807
31,0.34076738
32,0.37135702
33,0.37478557
34,0.35477096
35,0.3409504
36,0.32480282
37,0.31338316
38,0.30743748
39,0.30283138
40,0.2833094
41,0.32583606
42,0.3741263
43,0.43747324
44,0.40889224
45,0.43585473
46,0.44807774
47,0.3632389
48,0.38143402
49,0.3589915
50,0.3998019
51,0.39678806
52,0.37425867
53,0.41584438
54,0.39930522
55,0.4429397
56,0.4154137
57,0.4531478
58,0.42651406
59,0.41346303
60,0.39391455
61,0.40641484
62,0.35410237
63,0.36677584
64,0.34074736
65,0.401229
66,0.40878326
67,0.39329162
68,0.40557456
69,0.4953893
70,0.4592659
71,0.37909463
72,0.38956997
73,0.39668852
74,0.4430236
75,0.39230078
76,0.36788836
77,0.6449131
78,0.5781281
79,0.6254579
80,0.5648898
81,0.5118414
82,0.51743
83,0.3522823
84,0.42377096
85,0.42001885
86,0.40884495
87,0.37444
88,0.396031
89,0.4962243
90,0.44866306
91,0.486726
92,0.4646082
93,0.4942572
94,0.45555916
95,0.40973005
96,0.43380418
97,0.35573986
98,0.3964216
99,0.4288947
100,0.38336116
101,0.3542497
102,0.44463333
103,0.5191163
104,0.44770294
105,0.510314
106,0.4689228
107,0.5679356
108,0.3824398
109,0.38390082
110,0.38023022
111,0.3948781
112,0.37753195
113,0.37060457
114,0.46310773
115,0.48613864
116,0.5228354
117,0.504551
118,0.50304955
119,0.4540782
120,0.34086314
121,0.42082423
122,0.37579274
123,0.3686124
124,0.36954808
125,0.3519783
126,0.347112
127,0.46174496
128,0.54889774
129,0.50843465
130,0.49165463
131,0.5385378
132,0.38771194
133,0.367107
134,0.3570879
135,0.40903297
136,0.35072523
137,0.3953331
