bearing,file_idx,actual_rpm,bpfo,shaft,bpfi
1,1,736.0,856.8100358422939,762.0000000000001,857.0238095238095
1,11,743.0,869.1756272401433,828.0,857.1428571428571
1,21,984.0,854.3010752688173,810.0,857.3809523809524
1,31,987.0,787.4551971326165,786.0000000000001,857.2619047619048
1,41,986.0,900.179211469534,756.0000000000001,857.4999999999999
1,51,745.0,864.6953405017922,765.0,857.2619047619048
1,61,743.0,947.4910394265232,765.0,856.7857142857142
1,71,984.0,751.7921146953406,765.0,857.2619047619048
1,81,985.0,881.0035842293908,813.0,857.3809523809524
1,91,984.0,831.8996415770608,810.0,857.3809523809524
1,101,745.0,719.7132616487456,831.0000000000001,857.0238095238095
1,111,743.0,874.9103942652329,762.0000000000001,856.9047619047619
1,121,744.0,753.7634408602149,765.0,856.9047619047619
2,1,713.0,924.3727598566309,870.0,856.7857142857142
2,11,726.0,788.3512544802867,765.0,856.9047619047619
2,21,966.0,855.9139784946236,813.0,856.9047619047619
2,31,976.0,864.3369175627239,810.0,856.7857142857142
2,41,967.0,817.3835125448029,810.0,857.3809523809524
2,51,729.0,822.2222222222222,765.0,857.1428571428571
2,61,732.0,793.1899641577061,765.0,857.4999999999999
2,71,971.0,854.4802867383513,810.0,857.1428571428571
2,81,979.0,855.3763440860215,810.0,857.0238095238095
2,91,977.0,856.2724014336917,810.0,856.6666666666667
2,101,727.0,753.4050179211469,765.0,857.2619047619048
2,111,717.0,856.63082437276,765.0,857.1428571428571
3,1,725.0,761.2903225806451,762.0000000000001,857.0238095238095
3,11,726.0,877.7777777777776,765.0,856.6666666666667
3,21,965.0,851.9713261648745,810.0,856.5476190476192
3,31,974.0,852.3297491039426,810.0,857.1428571428571
3,41,961.0,718.4587813620071,810.0,856.6666666666667
3,51,715.0,786.9175627240144,765.0,856.9047619047619
3,61,710.0,755.9139784946236,765.0,857.3809523809524
3,71,952.0,712.3655913978495,933.0,856.7857142857142
3,81,950.0,852.1505376344086,807.0000000000001,856.7857142857142
4,1,712.0,788.5304659498208,795.0,857.2619047619048
4,11,737.0,786.9175627240144,792.0000000000001,857.0238095238095
4,21,982.0,789.6057347670251,804.0,857.3809523809524
4,31,980.0,789.7849462365591,807.0000000000001,857.3809523809524
4,41,983.0,788.7096774193549,801.0000000000001,857.0238095238095
4,51,736.0,788.8888888888889,795.0,857.2619047619048
4,61,733.0,786.9175627240144,804.0,856.9047619047619
4,71,970.0,788.3512544802867,801.0000000000001,857.2619047619048
4,81,969.0,855.9139784946236,789.0,856.7857142857142
4,91,972.0,788.5304659498208,798.0,857.1428571428571
4,101,731.0,788.3512544802867,801.0000000000001,857.1428571428571
4,111,732.0,788.5304659498208,798.0,857.2619047619048
4,121,723.0,788.7096774193549,801.0000000000001,857.3809523809524
4,131,952.0,856.451612903226,798.0,857.3809523809524
