bearing,match_len,score,cf
1,8,0.575,0.7000000000000003
1,12,0.6001,0.6800000000000003
1,15,0.5893,0.6800000000000003
1,18,0.5808,0.6800000000000003
1,24,0.5642,0.6800000000000003
2,8,0.5325,0.7000000000000003
2,12,0.5137,0.6800000000000003
2,15,0.5347,0.6800000000000003
2,18,0.5344,0.6800000000000003
2,24,0.4985,0.6800000000000003
3,8,0.5673,0.7000000000000003
3,12,0.5583,0.6800000000000003
3,15,0.5922,0.6800000000000003
3,18,0.6617,0.6800000000000003
3,24,0.6868,0.6800000000000003
4,8,0.4229,0.7000000000000003
4,12,0.415,0.6800000000000003
4,15,0.4187,0.6800000000000003
4,18,0.4226,0.6800000000000003
4,24,0.4201,0.6800000000000003
