bearing,cycle,HI
1,0,0.0
1,1,0.0
1,2,0.0
1,3,0.0001676406619383
1,4,0.0010953333988743
1,5,0.0030833552938194
1,6,0.0062704305703565
1,7,0.0125863896903347
1,8,0.022504078261684
1,9,0.036831838716292
1,10,0.0559849320664401
1,11,0.0796137912070927
1,12,0.1069842516092976
1,13,0.1370947263669153
1,14,0.1684553319994541
1,15,0.1995964436754851
1,16,0.2292685345723459
1,17,0.2566406970853482
1,18,0.2814139362435507
1,19,0.3036898792613017
1,20,0.3239312651515543
1,21,0.3425918311525325
1,22,0.3600398666577163
1,23,0.3764191622187151
1,24,0.3916748777091667
1,25,0.405534199817077
1,26,0.4176165608245394
1,27,0.4274525948409284
1,28,0.4351454511108409
1,29,0.4410007148984635
1,30,0.4455356629442511
1,31,0.4494072766588027
1,32,0.4533266936618631
1,33,0.4579894746663612
1,34,0.4638858298436162
1,35,0.4709065237367965
1,36,0.4786476001218691
1,37,0.486504346289955
1,38,0.4937479644933026
1,39,0.4996450549121822
1,40,0.5036471555218057
1,41,0.5056875994886482
1,42,0.5060505407487565
1,43,0.5053433966254846
1,44,0.5043376579610798
1,45,0.5039006125145731
1,46,0.5047282508523583
1,47,0.5070616467245481
1,48,0.5106381516249195
1,49,0.5149208967803187
1,50,0.5191411873487157
1,51,0.5224503555984663
1,52,0.5241284122244878
1,53,0.5239533912547042
1,54,0.522226003654391
1,55,0.5196308225321523
1,56,0.5170573354899337
1,57,0.515494871817863
1,58,0.5157096054661167
1,59,0.5179944102498324
1,60,0.522107117460709
1,61,0.527439007395867
1,62,0.5331029564895196
1,63,0.5380269933837746
1,64,0.5412879741952997
1,65,0.5425727419500153
1,66,0.5421567835741927
1,67,0.5407190480746364
1,68,0.5392251324521914
1,69,0.538836495232988
1,70,0.5406009397715497
1,71,0.5450131002055864
1,72,0.5519229957026989
1,73,0.5607409133639208
1,74,0.5705478467222284
1,75,0.58016220557338
1,76,0.5884248364112004
1,77,0.5947794691457838
1,78,0.5994205376585892
1,79,0.6030177800883536
1,80,0.6064737375043657
1,81,0.6108646958759126
1,82,0.6173290744912538
1,83,0.6264236153816035
1,84,0.6379956992420872
1,85,0.6513044943273162
1,86,0.6653139131557148
1,87,0.6788647147994264
1,88,0.690702766599857
1,89,0.6997999007073296
1,90,0.7060224218791823
1,91,0.7098306531733257
1,92,0.7120447340439794
1,93,0.7136206355134346
1,94,0.7155635991449304
1,95,0.7187255643840714
1,96,0.7234711300233113
1,97,0.7295683612481465
1,98,0.7364254550795479
1,99,0.7432684708988155
1,100,0.7492479557045826
1,101,0.7536567544595394
1,102,0.7562811212592192
1,103,0.7573966560318164
1,104,0.7575534758277574
1,105,0.7574337598936404
1,106,0.7577556353630452
1,107,0.7591407522620379
1,108,0.7618607145920278
1,109,0.7657952691289912
1,110,0.7705828397052341
1,111,0.775713173485863
1,112,0.7806018880327208
1,113,0.7847550470508331
1,114,0.7879879374124137
1,115,0.7904319996240475
1,116,0.7923800598191411
1,117,0.7942052219896263
1,118,0.7963312398991127
1,119,0.7991649407853023
1,120,0.8029076999504279
1,121,0.8075070966589436
1,122,0.8127625764408409
1,123,0.8183972234515249
1,124,0.824100861831785
1,125,0.8295754413444886
2,0,0.0
2,1,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,7.469525065815854e-06
2,11,0.0002726832391159
2,12,0.0010044590789277
2,13,0.0023504699241616
2,14,0.004384169650889
2,15,0.0071340463031646
2,16,0.0105934819286805
