w_dtw,r_lgbm,cf,overall,B1,B2,B3,B4
0.88,0.7,1.01,0.5685,0.634,0.5481,0.6485,0.4434
0.89,0.7,1.01,0.5684,0.6319,0.5468,0.653,0.4419
0.87,0.7,1.02,0.5684,0.6361,0.5523,0.6382,0.4469
0.86,0.7,1.02,0.5683,0.6377,0.5529,0.6342,0.4484
0.88,0.65,1.01,0.5682,0.6332,0.5459,0.6519,0.4419
0.87,0.65,1.02,0.5682,0.6356,0.5503,0.6417,0.4453
0.9,0.7,1.0,0.5682,0.6301,0.5423,0.6625,0.4379
0.89,0.65,1.01,0.5681,0.6316,0.5448,0.6557,0.4404
0.86,0.65,1.03,0.5681,0.6377,0.554,0.6318,0.4488
0.85,0.7,1.03,0.568,0.6401,0.5565,0.6232,0.4522
0.85,0.65,1.03,0.5679,0.6391,0.5545,0.6279,0.4502
0.9,0.65,1.0,0.5678,0.6298,0.5406,0.6645,0.4365
0.88,0.55,1.02,0.5678,0.6328,0.5448,0.6527,0.4409
0.84,0.7,1.03,0.5677,0.6414,0.5573,0.6183,0.4538
0.89,0.55,1.01,0.5676,0.6307,0.541,0.6615,0.4373
0.85,0.55,1.04,0.5676,0.6383,0.5535,0.6302,0.4485
0.87,0.55,1.03,0.5676,0.6347,0.5487,0.643,0.4442
0.84,0.65,1.04,0.5675,0.6417,0.558,0.6165,0.4539
0.86,0.55,1.03,0.5675,0.636,0.5494,0.6395,0.4452
0.91,0.7,1.0,0.5675,0.6275,0.5411,0.6651,0.4362
0.84,0.55,1.04,0.5673,0.6389,0.5537,0.6268,0.4496
0.83,0.7,1.04,0.5672,0.6442,0.5612,0.6057,0.4578
0.9,0.55,1.01,0.5672,0.6287,0.5403,0.6637,0.436
0.87,0.45,1.03,0.5672,0.6332,0.544,0.6508,0.4408
0.89,0.45,1.02,0.5671,0.63,0.5404,0.6615,0.4365
0.88,0.45,1.03,0.5671,0.6316,0.5437,0.6534,0.4398
0.86,0.45,1.04,0.567,0.6353,0.5475,0.6415,0.4438
0.83,0.65,1.04,0.567,0.6426,0.5586,0.6115,0.4554
0.91,0.65,1.0,0.567,0.6274,0.5396,0.666,0.435
0.85,0.45,1.05,0.5669,0.6374,0.551,0.6324,0.4467
0.84,0.45,1.06,0.5668,0.6395,0.5547,0.6234,0.4497
0.83,0.55,1.05,0.5668,0.6414,0.5568,0.616,0.453
0.83,0.45,1.06,0.5665,0.6402,0.5551,0.6201,0.4506
0.82,0.65,1.04,0.5665,0.6429,0.5593,0.6067,0.4569
0.82,0.7,1.03,0.5664,0.6421,0.5589,0.6078,0.457
0.9,0.45,1.02,0.5663,0.6268,0.5401,0.6627,0.4355
0.91,0.55,1.01,0.5662,0.6254,0.5398,0.6647,0.4348
0.82,0.55,1.05,0.5662,0.6417,0.5571,0.6117,0.4542
0.92,0.7,1.0,0.5662,0.6238,0.5401,0.6663,0.4346
0.82,0.45,1.06,0.5661,0.6406,0.5552,0.6171,0.4515
0.92,0.65,1.0,0.5657,0.624,0.5387,0.6667,0.4336
0.81,0.7,1.01,0.5656,0.6366,0.5536,0.6183,0.4538
0.81,0.65,1.03,0.5655,0.6401,0.5569,0.6091,0.456
0.81,0.55,1.05,0.5655,0.6416,0.5574,0.6077,0.4554
0.81,0.45,1.07,0.5654,0.6428,0.5579,0.6061,0.4547
0.91,0.45,1.02,0.5652,0.6229,0.5399,0.6634,0.4346
0.8,0.65,1.01,0.5648,0.635,0.5514,0.6199,0.4526
0.92,0.55,1.01,0.5648,0.6214,0.5393,0.6651,0.4336
0.93,0.7,0.99,0.5647,0.6228,0.5359,0.6692,0.4308
0.8,0.7,1.0,0.5647,0.6344,0.5512,0.6205,0.4529
0.8,0.55,1.04,0.5647,0.6386,0.5549,0.611,0.4543
0.8,0.45,1.07,0.5646,0.6424,0.5579,0.6023,0.4557
0.93,0.65,1.0,0.5643,0.62,0.5379,0.6673,0.4321
0.92,0.45,1.01,0.5641,0.6219,0.5367,0.6662,0.4315
0.79,0.7,0.99,0.5639,0.6323,0.5487,0.6226,0.452
0.79,0.45,1.06,0.5639,0.6394,0.5552,0.6066,0.4543
0.79,0.65,1.0,0.5639,0.6329,0.5487,0.6225,0.4517
0.79,0.55,1.03,0.5639,0.6362,0.552,0.6143,0.4532
0.93,0.55,1.0,0.5637,0.6205,0.5357,0.6682,0.4303
0.78,0.7,1.0,0.5632,0.6352,0.5529,0.6086,0.4561
0.78,0.65,1.0,0.5631,0.6331,0.5494,0.6168,0.4531
0.78,0.45,1.05,0.5631,0.6371,0.5519,0.6105,0.453
0.78,0.55,1.02,0.5631,0.634,0.549,0.6174,0.452
0.93,0.45,1.01,0.5629,0.6175,0.5366,0.6667,0.4306
