w_dtw,r_lgbm,cf,overall,B1,B2,B3,B4
0.78,0.7,0.97,0.4683,0.2559,0.6501,0.5948,0.3727
0.79,0.7,0.98,0.4679,0.2557,0.656,0.5896,0.3706
0.78,0.65,0.98,0.4677,0.2558,0.6514,0.5921,0.3717
0.8,0.7,0.98,0.4675,0.2547,0.6561,0.5915,0.3674
0.79,0.65,0.99,0.4673,0.2556,0.6574,0.5865,0.3698
0.81,0.7,0.98,0.467,0.2538,0.6561,0.5935,0.3646
0.8,0.65,0.99,0.4669,0.2547,0.6576,0.5883,0.3669
0.78,0.55,1.0,0.4665,0.2555,0.6537,0.5867,0.37
0.81,0.65,0.98,0.4665,0.253,0.6527,0.5969,0.3633
0.82,0.7,0.98,0.4664,0.2529,0.6558,0.595,0.3621
0.79,0.55,1.0,0.4661,0.2547,0.6545,0.588,0.3673
0.8,0.55,1.0,0.4659,0.2539,0.6553,0.5895,0.3649
0.82,0.65,0.99,0.4657,0.2529,0.6573,0.5914,0.3613
0.78,0.45,1.01,0.4653,0.2545,0.6503,0.5887,0.3676
0.83,0.7,0.99,0.4653,0.2528,0.6593,0.5895,0.3598
0.81,0.55,1.0,0.4651,0.2531,0.6558,0.5902,0.3616
0.79,0.45,1.02,0.465,0.2545,0.657,0.5826,0.3658
0.83,0.65,1.0,0.4646,0.2529,0.6608,0.5857,0.3591
0.8,0.45,1.02,0.4644,0.2538,0.6579,0.5834,0.3626
0.84,0.7,0.99,0.4642,0.2519,0.6582,0.5904,0.3565
0.82,0.55,1.0,0.4641,0.2523,0.6554,0.5905,0.3585
0.84,0.65,1.0,0.4636,0.252,0.6598,0.5865,0.3559
0.81,0.45,1.02,0.4635,0.253,0.6579,0.5836,0.3596
0.83,0.55,1.01,0.4632,0.2523,0.6591,0.5848,0.3566
0.85,0.7,1.0,0.4631,0.2518,0.6614,0.5848,0.3544
0.82,0.45,1.02,0.4626,0.2523,0.6576,0.5837,0.3569
0.85,0.65,1.0,0.4625,0.2512,0.6589,0.5867,0.3531
0.84,0.55,1.01,0.4622,0.2515,0.6585,0.5847,0.3539
0.86,0.7,0.99,0.462,0.2501,0.6561,0.5911,0.3509
0.83,0.45,1.03,0.4617,0.2524,0.6616,0.5775,0.3553
0.86,0.65,1.0,0.4615,0.2503,0.6578,0.5871,0.3506
0.85,0.55,1.01,0.4612,0.2507,0.6579,0.5848,0.3515
0.87,0.7,0.99,0.4609,0.2492,0.6549,0.5917,0.3476
0.84,0.45,1.03,0.4607,0.2517,0.6611,0.5772,0.3529
0.87,0.65,1.0,0.4602,0.2495,0.6568,0.5877,0.347
0.86,0.55,1.01,0.46,0.25,0.6571,0.585,0.348
0.88,0.7,1.0,0.4596,0.2492,0.6575,0.5867,0.3451
0.85,0.45,1.02,0.4596,0.2503,0.6568,0.583,0.3485
0.88,0.65,1.0,0.459,0.2487,0.6556,0.5881,0.3437
0.87,0.55,1.01,0.4589,0.2492,0.6563,0.5854,0.3448
0.86,0.45,1.02,0.4586,0.2496,0.6564,0.5831,0.3455
0.89,0.7,0.99,0.4584,0.2476,0.6526,0.5924,0.3411
0.89,0.65,1.0,0.4579,0.2479,0.6545,0.5882,0.3408
0.88,0.55,1.01,0.4578,0.2485,0.6555,0.5854,0.3419
0.87,0.45,1.02,0.4576,0.2489,0.6558,0.5831,0.3427
0.9,0.7,0.99,0.4573,0.2467,0.6513,0.5928,0.3385
0.89,0.55,1.0,0.4569,0.247,0.6511,0.5906,0.3388
0.9,0.65,1.0,0.4569,0.2471,0.6534,0.5887,0.3384
0.88,0.45,1.01,0.4567,0.2475,0.6517,0.588,0.3395
0.91,0.7,0.99,0.4561,0.2459,0.6501,0.5932,0.3354
0.89,0.45,1.01,0.4558,0.2469,0.6512,0.5879,0.3374
0.9,0.55,1.0,0.4558,0.2463,0.6503,0.5908,0.336
0.91,0.65,1.0,0.4557,0.2463,0.652,0.5893,0.3351
0.92,0.7,0.99,0.4549,0.2451,0.6489,0.5937,0.3318
0.9,0.45,1.01,0.4548,0.2462,0.6507,0.5881,0.3341
0.91,0.55,1.0,0.4547,0.2456,0.6495,0.5911,0.3326
0.92,0.65,1.0,0.4545,0.2455,0.6506,0.5901,0.3316
0.91,0.45,1.01,0.4538,0.2456,0.6499,0.5884,0.3311
0.92,0.55,1.0,0.4537,0.2449,0.6485,0.5916,0.3296
0.93,0.7,1.0,0.4537,0.2451,0.6501,0.5903,0.3294
0.93,0.65,1.0,0.4534,0.2448,0.6492,0.591,0.3286
0.92,0.45,1.01,0.4528,0.245,0.6491,0.5888,0.3285
0.93,0.55,1.0,0.4526,0.2442,0.6474,0.5918,0.3271
0.93,0.45,1.01,0.452,0.2444,0.6482,0.589,0.3263
