w_th,alpha,cap,cf,overall,B1,B2,B3,B4
0.4,0.8,1.1,0.99,0.5737,0.6423,0.5911,0.6555,0.4059
0.4,1.0,1.1,0.99,0.5735,0.6442,0.5971,0.6435,0.409
0.4,0.6,1.1,1.0,0.5735,0.64,0.5893,0.6604,0.4043
0.35,0.4,1.2,0.99,0.5732,0.6451,0.5825,0.6559,0.4093
0.1,1.0,1.2,0.94,0.5732,0.6592,0.5659,0.6278,0.4401
0.35,0.8,1.1,0.99,0.5731,0.6434,0.5837,0.6559,0.4093
0.3,0.8,1.1,0.98,0.5731,0.6454,0.5733,0.6629,0.411
0.3,0.4,1.2,0.98,0.5731,0.6461,0.5726,0.6629,0.411
0.3,1.0,1.1,0.98,0.5731,0.6483,0.5785,0.6517,0.4141
0.3,0.6,1.2,0.98,0.5731,0.6523,0.5827,0.64,0.4173
0.2,0.6,1.2,0.96,0.5731,0.6506,0.5643,0.6563,0.4211
0.4,0.4,1.2,1.0,0.5731,0.6426,0.5932,0.649,0.4077
0.35,1.0,1.1,0.99,0.573,0.6457,0.5894,0.6445,0.4124
0.35,0.6,1.2,0.98,0.573,0.6498,0.5893,0.6392,0.4137
0.2,0.8,1.2,0.96,0.573,0.6581,0.5731,0.6327,0.4282
0.2,1.0,1.1,0.97,0.573,0.6483,0.5641,0.6602,0.4196
0.35,0.6,1.1,0.99,0.573,0.6411,0.5782,0.6665,0.4059
0.4,0.4,1.1,1.01,0.5728,0.6363,0.5872,0.6652,0.4026
0.2,0.4,1.3,0.96,0.5727,0.6499,0.5634,0.6564,0.4211
0.3,0.6,1.1,0.99,0.5726,0.6418,0.5718,0.6673,0.4096
0.35,0.2,1.3,0.99,0.5726,0.6419,0.5759,0.6666,0.4059
0.1,0.6,1.3,0.95,0.5726,0.655,0.5645,0.6322,0.4386
0.1,0.8,1.2,0.95,0.5725,0.6521,0.5609,0.6425,0.4346
0.3,0.4,1.3,0.98,0.5724,0.652,0.5803,0.64,0.4173
0.35,0.2,1.2,1.0,0.5724,0.6385,0.5758,0.6709,0.4042
0.3,0.2,1.3,0.99,0.5723,0.6423,0.5701,0.6674,0.4096
0.35,0.4,1.1,1.0,0.5723,0.6377,0.5764,0.6709,0.4042
0.4,0.2,1.2,1.01,0.5723,0.6352,0.5862,0.6652,0.4026
0.3,0.8,1.2,0.96,0.5722,0.6541,0.5852,0.6296,0.4201
0.3,0.2,1.8,0.98,0.5722,0.6524,0.5717,0.6418,0.4228
0.2,1.0,1.2,0.94,0.5722,0.6606,0.5747,0.6228,0.4309
