alpha_th,cap_th,alpha_lgbm,cap_lgbm,cf,overall,B1,B2,B3,B4
0.8,2.0,1.0,1.1,0.94,0.5881,0.64,0.6214,0.6551,0.4359
0.8,2.0,0.8,1.2,0.91,0.5881,0.6479,0.6198,0.6447,0.4402
0.8,2.0,0.4,1.3,0.93,0.5879,0.6424,0.6199,0.6518,0.4374
0.8,2.0,0.8,1.1,0.94,0.5871,0.6358,0.6164,0.6642,0.432
0.8,2.0,0.4,1.2,0.94,0.587,0.6353,0.6162,0.6643,0.432
0.8,2.0,1.0,1.2,0.88,0.5869,0.647,0.6134,0.6472,0.44
1.0,2.0,1.0,1.1,0.92,0.5858,0.6406,0.6378,0.6319,0.4329
1.0,2.0,0.8,1.2,0.88,0.5857,0.6414,0.6296,0.6373,0.4343
0.6,2.0,0.8,1.2,0.93,0.5854,0.6495,0.6051,0.6434,0.4437
1.0,2.0,1.0,1.2,0.85,0.5854,0.6388,0.6225,0.6463,0.4339
1.0,2.0,0.4,1.3,0.91,0.5854,0.6412,0.6361,0.6301,0.4343
1.0,2.0,0.8,1.1,0.93,0.5854,0.6379,0.6384,0.6339,0.4315
1.0,2.0,0.4,1.2,0.93,0.5853,0.6375,0.6382,0.6339,0.4315
0.8,2.0,0.8,1.3,0.86,0.5851,0.6462,0.6107,0.6413,0.4421
0.6,2.0,1.0,1.2,0.91,0.5847,0.6541,0.6045,0.6337,0.4465
0.6,2.0,0.4,1.3,0.94,0.5845,0.6404,0.6,0.6594,0.4381
0.6,2.0,1.0,1.1,0.94,0.5843,0.6379,0.5965,0.6687,0.4342
1.0,2.0,0.8,1.3,0.83,0.5842,0.6369,0.6193,0.6451,0.4356
0.8,2.0,0.4,1.1,0.96,0.5837,0.6221,0.616,0.668,0.4289
0.6,2.0,0.8,1.1,0.95,0.5832,0.6318,0.5961,0.6721,0.4326
1.0,2.0,1.0,1.3,0.8,0.583,0.6344,0.6161,0.644,0.4375
0.6,2.0,0.4,1.2,0.95,0.583,0.6313,0.5959,0.6721,0.4326
0.6,2.0,0.8,1.3,0.88,0.5829,0.6511,0.5975,0.6367,0.4461
0.8,2.0,1.0,1.3,0.82,0.5829,0.6412,0.6034,0.6453,0.4417
1.0,2.0,0.4,1.1,0.94,0.5828,0.6299,0.6337,0.6411,0.4264
0.8,2.0,0.4,1.5,0.88,0.5827,0.6347,0.6083,0.6485,0.4394
1.0,2.0,0.4,1.5,0.85,0.5813,0.6274,0.6174,0.647,0.4333
0.4,2.0,1.0,1.2,0.93,0.581,0.656,0.5917,0.6259,0.4504
0.6,2.0,1.0,1.3,0.84,0.5808,0.6477,0.5913,0.638,0.4461
0.4,2.0,0.8,1.2,0.94,0.5807,0.6477,0.5875,0.6431,0.4446
1.0,1.5,1.0,1.1,0.93,0.5804,0.6384,0.6064,0.6447,0.4318
0.8,1.5,0.8,1.2,0.91,0.5803,0.6451,0.5943,0.6442,0.4375
1.0,1.3,1.0,1.1,0.94,0.5802,0.637,0.5893,0.6619,0.4325
0.6,2.0,0.4,1.5,0.9,0.5802,0.6382,0.5945,0.6451,0.4431
0.8,1.5,1.0,1.1,0.94,0.5799,0.6371,0.5952,0.654,0.4332
1.0,1.5,0.4,1.3,0.92,0.5798,0.6395,0.605,0.6413,0.4333
0.8,1.5,0.4,1.3,0.93,0.5798,0.6395,0.594,0.6509,0.4347
1.0,1.5,0.8,1.1,0.94,0.5796,0.6343,0.6066,0.6473,0.4303
1.0,1.3,0.4,1.3,0.93,0.5796,0.6394,0.5883,0.6569,0.434
1.0,1.5,0.4,1.2,0.94,0.5795,0.6339,0.6064,0.6473,0.4303
1.0,1.5,0.8,1.2,0.89,0.5795,0.641,0.6004,0.643,0.4335
0.4,2.0,0.8,1.3,0.9,0.5795,0.6555,0.5854,0.6266,0.4503
1.0,1.3,0.8,1.2,0.9,0.5795,0.6423,0.5843,0.6568,0.4344
0.6,2.0,0.4,1.1,0.97,0.5794,0.6154,0.5953,0.6774,0.4293
0.4,2.0,0.4,1.3,0.94,0.5793,0.6383,0.5785,0.6638,0.4365
1.0,1.3,0.8,1.1,0.95,0.5792,0.6309,0.5888,0.6661,0.4309
0.8,1.5,1.0,1.2,0.89,0.5792,0.6475,0.5937,0.6354,0.4401
0.4,2.0,1.0,1.1,0.94,0.579,0.6358,0.5754,0.6723,0.4325
1.0,1.3,0.4,1.2,0.95,0.579,0.6304,0.5886,0.6662,0.4309
0.6,1.5,0.8,1.2,0.93,0.5787,0.6474,0.5884,0.6375,0.4417
1.0,1.5,1.0,1.2,0.87,0.5786,0.6424,0.5996,0.6365,0.4358
0.8,1.5,0.8,1.1,0.95,0.5786,0.6311,0.5948,0.6569,0.4316
0.8,1.3,0.8,1.2,0.91,0.5785,0.6439,0.5772,0.6564,0.4362
0.8,1.5,0.4,1.2,0.95,0.5784,0.6306,0.5946,0.6569,0.4316
1.0,1.3,1.0,1.2,0.88,0.5783,0.6442,0.584,0.648,0.4368
0.6,1.5,1.0,1.2,0.91,0.5783,0.652,0.588,0.6285,0.4445
0.8,1.3,0.4,1.3,0.94,0.5781,0.6384,0.5808,0.6575,0.4357
0.8,2.0,0.0,3.0,0.98,0.578,0.6036,0.6154,0.6676,0.4255
0.8,2.0,0.0,2.0,0.98,0.578,0.6036,0.6154,0.6676,0.4255
0.8,2.0,0.0,1.1,0.98,0.578,0.6036,0.6154,0.6676,0.4255
0.8,2.0,0.0,1.2,0.98,0.578,0.6036,0.6154,0.6676,0.4255
0.8,2.0,0.0,1.3,0.98,0.578,0.6036,0.6154,0.6676,0.4255
0.8,2.0,0.0,1.5,0.98,0.578,0.6036,0.6154,0.6676,0.4255
0.8,1.3,1.0,1.1,0.94,0.5779,0.6359,0.5773,0.6665,0.4318
1.0,1.2,1.0,1.1,0.93,0.5779,0.6354,0.5671,0.6801,0.4292
1.0,2.0,0.0,3.0,0.96,0.5778,0.6162,0.6336,0.6387,0.4227
1.0,2.0,0.0,2.0,0.96,0.5778,0.6162,0.6336,0.6387,0.4227
1.0,2.0,0.0,1.5,0.96,0.5778,0.6162,0.6336,0.6387,0.4227
1.0,2.0,0.0,1.3,0.96,0.5778,0.6162,0.6336,0.6387,0.4227
1.0,2.0,0.0,1.2,0.96,0.5778,0.6162,0.6336,0.6387,0.4227
1.0,2.0,0.0,1.1,0.96,0.5778,0.6162,0.6336,0.6387,0.4227
0.4,2.0,0.8,1.1,0.95,0.5777,0.6297,0.5749,0.675,0.4309
0.4,2.0,1.0,1.3,0.86,0.5776,0.6536,0.5802,0.6259,0.4506
0.8,1.5,0.8,1.3,0.86,0.5775,0.6436,0.5873,0.6395,0.4396
0.8,1.3,1.0,1.2,0.89,0.5775,0.6463,0.5771,0.6478,0.4389
0.4,2.0,0.4,1.2,0.95,0.5775,0.6292,0.5747,0.6751,0.4309
1.0,1.2,0.4,1.3,0.92,0.5775,0.6366,0.5662,0.6765,0.4306
0.6,1.5,0.4,1.3,0.94,0.5774,0.6383,0.5837,0.6517,0.4361
1.0,1.2,0.8,1.1,0.94,0.5772,0.6314,0.5669,0.6828,0.4276
0.6,1.5,1.0,1.1,0.94,0.5772,0.6358,0.5801,0.6605,0.4322
1.0,1.2,0.8,1.2,0.9,0.5772,0.6409,0.567,0.6674,0.4334
0.8,1.2,0.8,1.2,0.91,0.5771,0.6428,0.5636,0.6666,0.4355
0.6,1.3,0.8,1.2,0.93,0.5771,0.6465,0.5745,0.6466,0.4407
1.0,1.2,0.4,1.2,0.94,0.577,0.6309,0.5667,0.6828,0.4276
1.0,1.5,0.8,1.3,0.84,0.5769,0.6376,0.5927,0.6422,0.4352
0.8,1.2,0.4,1.3,0.94,0.5767,0.6373,0.5668,0.6678,0.4349
0.8,1.2,1.0,1.1,0.94,0.5767,0.6348,0.5635,0.6774,0.431
0.6,1.3,1.0,1.2,0.91,0.5766,0.6511,0.5745,0.6371,0.4436
0.8,1.3,0.8,1.1,0.95,0.5766,0.6299,0.5767,0.6697,0.4302
0.6,1.5,0.8,1.3,0.88,0.5765,0.6492,0.5819,0.6307,0.4443
0.8,1.3,0.4,1.2,0.95,0.5765,0.6294,0.5765,0.6697,0.4302
1.0,1.3,0.8,1.3,0.85,0.5764,0.6398,0.5776,0.6518,0.4363
0.4,2.0,0.4,1.5,0.92,0.5764,0.6406,0.5821,0.636,0.4469
0.4,1.5,1.0,1.2,0.93,0.5763,0.6547,0.5814,0.6202,0.4491
1.0,1.5,0.4,1.1,0.96,0.5762,0.6206,0.606,0.651,0.4271
1.0,1.2,1.0,1.2,0.87,0.5762,0.6396,0.5629,0.6692,0.4333
0.6,1.2,0.8,1.2,0.93,0.5762,0.6456,0.5643,0.6549,0.4401
0.8,1.2,1.0,1.2,0.89,0.5762,0.6453,0.5637,0.6576,0.4381
0.6,1.3,0.4,1.3,0.94,0.5759,0.6374,0.5692,0.6621,0.4351
0.4,1.5,0.8,1.2,0.94,0.5759,0.6464,0.5768,0.6371,0.4433
0.6,1.3,1.0,1.1,0.94,0.5758,0.6349,0.5659,0.6713,0.4312
0.6,1.5,0.8,1.1,0.95,0.5758,0.6297,0.5795,0.6634,0.4306
0.8,1.3,0.8,1.3,0.86,0.5757,0.6424,0.5711,0.6507,0.4384
0.6,1.5,0.4,1.2,0.95,0.5757,0.6292,0.5793,0.6635,0.4306
0.6,1.2,1.0,1.2,0.91,0.5757,0.6503,0.5645,0.6451,0.443
0.4,1.3,1.0,1.2,0.92,0.5756,0.6523,0.5677,0.6366,0.4457
1.0,1.1,0.8,1.2,0.92,0.5755,0.644,0.5576,0.6631,0.4373
0.8,1.2,0.8,1.1,0.95,0.5754,0.6287,0.5628,0.6806,0.4294
0.8,1.5,1.0,1.3,0.83,0.5754,0.6429,0.5859,0.6305,0.4423
1.0,1.3,0.4,1.1,0.96,0.5754,0.6191,0.5835,0.6737,0.4254
0.4,1.3,0.8,1.2,0.93,0.5753,0.6455,0.5633,0.6525,0.4401
0.8,1.2,0.4,1.2,0.95,0.5752,0.6282,0.5626,0.6807,0.4294
1.0,1.5,1.0,1.3,0.81,0.5751,0.6357,0.591,0.6364,0.4374
0.4,1.5,0.8,1.3,0.9,0.5749,0.6542,0.5754,0.621,0.449
0.8,1.5,0.4,1.5,0.88,0.5749,0.6321,0.5843,0.6465,0.4369
1.0,1.1,0.4,1.3,0.94,0.5749,0.6364,0.5565,0.6723,0.4343
0.6,1.2,0.4,1.3,0.94,0.5749,0.6365,0.5592,0.6696,0.4345
0.4,1.2,1.0,1.2,0.92,0.5749,0.6517,0.5611,0.6417,0.4453
0.6,1.3,0.8,1.3,0.88,0.5749,0.6483,0.5687,0.6393,0.4433
0.8,1.5,0.4,1.1,0.96,0.5748,0.6192,0.5902,0.6635,0.4261
0.8,1.1,0.8,1.2,0.93,0.5748,0.6451,0.5577,0.6567,0.4397
1.0,1.1,1.0,1.2,0.89,0.5747,0.6444,0.5539,0.663,0.4375
0.6,1.5,1.0,1.3,0.84,0.5746,0.6458,0.5769,0.6315,0.4443
0.4,1.2,0.8,1.2,0.94,0.5746,0.6452,0.5608,0.65,0.4423
0.6,1.3,0.8,1.1,0.94,0.5746,0.6307,0.5616,0.6787,0.4274
0.4,1.5,0.4,1.3,0.94,0.5745,0.6369,0.5672,0.6588,0.4352
1.0,1.5,0.4,1.5,0.87,0.5745,0.6304,0.5944,0.6379,0.4352
0.8,1.2,0.8,1.3,0.86,0.5744,0.6414,0.5583,0.6603,0.4377
0.6,1.3,0.4,1.2,0.94,0.5744,0.6302,0.5614,0.6787,0.4274
0.6,1.2,1.0,1.1,0.94,0.5744,0.634,0.556,0.6772,0.4306
1.0,1.2,0.8,1.3,0.84,0.5744,0.6349,0.5575,0.6726,0.4328
1.0,1.3,1.0,1.3,0.81,0.5744,0.6343,0.5723,0.6549,0.436
1.0,1.1,1.0,1.1,0.94,0.5743,0.6339,0.5534,0.6797,0.4304
0.4,1.5,1.0,1.1,0.94,0.5743,0.6344,0.5638,0.6677,0.4312
0.8,1.1,1.0,1.2,0.91,0.5743,0.6498,0.5579,0.6471,0.4426
1.0,1.3,0.4,1.5,0.87,0.5742,0.6289,0.5744,0.6597,0.4336
0.4,1.3,0.8,1.3,0.9,0.5741,0.6537,0.5663,0.628,0.4484
0.6,1.2,0.8,1.3,0.88,0.5741,0.6475,0.5591,0.647,0.4428
0.4,1.3,0.4,1.3,0.94,0.5739,0.6363,0.5582,0.6666,0.4345
0.6,1.1,1.0,1.2,0.92,0.5739,0.6515,0.558,0.6411,0.4451
0.6,1.5,0.4,1.5,0.91,0.5737,0.6387,0.5827,0.6297,0.4438
0.6,1.1,0.8,1.2,0.94,0.5737,0.645,0.5577,0.6501,0.442
1.0,1.2,0.4,1.1,0.96,0.5736,0.6176,0.5655,0.6867,0.4244
0.8,1.3,1.0,1.3,0.83,0.5736,0.6419,0.5703,0.6413,0.4411
0.4,1.1,1.0,1.2,0.93,0.5735,0.6529,0.5581,0.6352,0.4476
0.4,2.0,0.4,1.1,0.97,0.5735,0.6133,0.5739,0.6791,0.4276
0.4,1.2,0.8,1.3,0.9,0.5735,0.6531,0.5598,0.6332,0.448
0.4,1.3,1.0,1.1,0.95,0.5733,0.632,0.5585,0.6699,0.4329
0.4,1.5,1.0,1.3,0.86,0.5732,0.6523,0.5705,0.6204,0.4494
0.8,1.3,0.4,1.5,0.89,0.5732,0.6337,0.572,0.6491,0.4382
0.8,1.1,0.4,1.3,0.94,0.5732,0.636,0.5527,0.6702,0.4341
0.6,2.0,0.0,1.2,0.99,0.5731,0.5945,0.5944,0.6778,0.4257
0.6,2.0,0.0,3.0,0.99,0.5731,0.5945,0.5944,0.6778,0.4257
0.6,2.0,0.0,2.0,0.99,0.5731,0.5945,0.5944,0.6778,0.4257
0.6,2.0,0.0,1.5,0.99,0.5731,0.5945,0.5944,0.6778,0.4257
0.6,1.3,1.0,1.3,0.84,0.5731,0.645,0.5641,0.6399,0.4434
0.6,2.0,0.0,1.3,0.99,0.5731,0.5945,0.5944,0.6778,0.4257
0.6,2.0,0.0,1.1,0.99,0.5731,0.5945,0.5944,0.6778,0.4257
0.6,1.2,0.8,1.1,0.95,0.573,0.628,0.5553,0.6796,0.429
0.8,1.3,0.4,1.1,0.96,0.5729,0.618,0.5715,0.6772,0.4248
0.4,1.5,0.8,1.1,0.95,0.5729,0.6284,0.5631,0.6706,0.4296
1.0,2.0,0.8,1.5,0.75,0.5729,0.6042,0.6008,0.6485,0.4381
1.0,1.1,0.8,1.1,0.95,0.5729,0.6278,0.5527,0.6822,0.4288
0.6,1.2,0.4,1.2,0.95,0.5728,0.6275,0.5551,0.6796,0.429
0.4,1.5,0.4,1.2,0.95,0.5728,0.6279,0.5629,0.6706,0.4296
1.0,1.1,0.8,1.3,0.87,0.5728,0.644,0.5526,0.6548,0.4398
1.0,1.2,1.0,1.3,0.81,0.5727,0.6331,0.557,0.6655,0.4351
1.0,1.1,0.4,1.2,0.95,0.5727,0.6273,0.5525,0.6822,0.4288
0.8,1.1,0.8,1.3,0.88,0.5726,0.647,0.5528,0.6483,0.4424
0.8,1.1,1.0,1.1,0.94,0.5726,0.6335,0.5496,0.6773,0.4302
0.8,2.0,0.8,1.5,0.77,0.5725,0.614,0.5908,0.6422,0.4428
0.8,1.2,1.0,1.3,0.82,0.5725,0.6367,0.5541,0.6616,0.4375
0.4,1.3,1.0,1.3,0.86,0.5724,0.6518,0.5619,0.6274,0.4488
0.6,1.1,0.8,1.3,0.9,0.5724,0.6529,0.5568,0.6322,0.4478
0.4,1.1,0.8,1.3,0.91,0.5724,0.6554,0.5569,0.627,0.4502
0.4,1.1,0.8,1.2,0.94,0.5724,0.6446,0.5538,0.6493,0.4418
0.4,1.2,0.4,1.3,0.94,0.5723,0.6358,0.5518,0.6676,0.4341
0.6,1.2,1.0,1.3,0.84,0.5723,0.6443,0.5549,0.6473,0.4429
1.0,1.2,0.4,1.5,0.87,0.5722,0.6276,0.5581,0.6705,0.4327
0.6,1.3,0.4,1.5,0.91,0.5721,0.6378,0.5694,0.6383,0.4429
0.8,1.2,0.4,1.5,0.89,0.5719,0.6326,0.5588,0.6589,0.4374
0.4,1.2,1.0,1.3,0.86,0.5719,0.6512,0.5557,0.6323,0.4484
0.6,2.0,0.4,2.0,0.86,0.5719,0.6286,0.5858,0.6289,0.4444
0.0,2.0,0.8,1.3,0.93,0.5717,0.6587,0.5572,0.616,0.4549
0.4,2.0,0.4,2.0,0.87,0.5717,0.6297,0.5692,0.6422,0.4455
0.0,1.3,0.8,1.3,0.93,0.5717,0.6587,0.5572,0.616,0.4549
0.6,1.1,0.4,1.3,0.94,0.5717,0.6356,0.5489,0.6683,0.4339
0.6,1.5,0.4,1.1,0.97,0.5717,0.6133,0.5782,0.668,0.4272
0.0,1.5,0.8,1.3,0.93,0.5717,0.6587,0.5572,0.616,0.4549
0.0,1.1,0.8,1.3,0.93,0.5717,0.6587,0.5572,0.616,0.4549
0.4,1.3,0.8,1.1,0.95,0.5717,0.6278,0.5544,0.6755,0.429
0.0,1.2,0.8,1.3,0.93,0.5717,0.6587,0.5572,0.616,0.4549
0.4,1.2,1.0,1.1,0.95,0.5716,0.6315,0.5521,0.6705,0.4325
0.4,1.5,0.4,1.5,0.92,0.5716,0.6393,0.5717,0.63,0.4456
0.4,1.3,0.4,1.2,0.95,0.5715,0.6273,0.5542,0.6756,0.429
0.0,2.0,1.0,1.2,0.94,0.5714,0.6525,0.5543,0.6288,0.4497
0.0,1.2,1.0,1.2,0.94,0.5714,0.6525,0.5543,0.6288,0.4497
0.0,1.1,1.0,1.2,0.94,0.5714,0.6525,0.5543,0.6288,0.4497
0.0,1.5,1.0,1.2,0.94,0.5714,0.6525,0.5543,0.6288,0.4497
0.0,1.3,1.0,1.2,0.94,0.5714,0.6525,0.5543,0.6288,0.4497
0.8,1.2,0.4,1.1,0.97,0.5713,0.6123,0.5614,0.6857,0.426
0.6,1.2,0.4,1.5,0.9,0.5713,0.6345,0.5555,0.6557,0.4396
0.8,1.1,0.8,1.1,0.95,0.5712,0.6274,0.5489,0.6799,0.4286
1.0,1.1,1.0,1.3,0.83,0.5711,0.6401,0.5488,0.6556,0.4398
0.6,1.1,1.0,1.1,0.95,0.571,0.6313,0.5491,0.6715,0.4323
0.8,1.1,0.4,1.2,0.95,0.571,0.6269,0.5487,0.68,0.4286
0.4,1.3,0.4,1.5,0.92,0.571,0.6387,0.5626,0.6378,0.445
0.4,1.1,1.0,1.3,0.87,0.5709,0.6544,0.553,0.6254,0.4507
0.8,1.1,1.0,1.3,0.84,0.5709,0.6438,0.5489,0.6482,0.4425
0.6,1.1,1.0,1.3,0.86,0.5709,0.651,0.5528,0.6314,0.4483
0.0,1.1,1.0,1.3,0.89,0.5708,0.6604,0.5533,0.6138,0.4557
0.0,1.3,1.0,1.3,0.89,0.5708,0.6604,0.5533,0.6138,0.4557
0.0,2.0,1.0,1.3,0.89,0.5708,0.6604,0.5533,0.6138,0.4557
0.0,1.2,1.0,1.3,0.89,0.5708,0.6604,0.5533,0.6138,0.4557
0.0,1.5,1.0,1.3,0.89,0.5708,0.6604,0.5533,0.6138,0.4557
0.6,1.3,0.4,1.1,0.97,0.5706,0.6124,0.5638,0.6801,0.4262
1.0,1.5,0.0,1.1,0.98,0.5705,0.6021,0.6053,0.651,0.4238
1.0,1.5,0.0,2.0,0.98,0.5705,0.6021,0.6053,0.651,0.4238
1.0,1.5,0.0,1.3,0.98,0.5705,0.6021,0.6053,0.651,0.4238
1.0,1.5,0.0,1.5,0.98,0.5705,0.6021,0.6053,0.651,0.4238
1.0,1.1,0.4,1.5,0.89,0.5705,0.6318,0.5491,0.6643,0.4368
1.0,1.5,0.0,1.2,0.98,0.5705,0.6021,0.6053,0.651,0.4238
1.0,1.5,0.0,3.0,0.98,0.5705,0.6021,0.6053,0.651,0.4238
0.4,1.2,0.4,1.5,0.92,0.5704,0.6381,0.5561,0.6428,0.4446
0.6,2.0,0.8,1.5,0.79,0.5703,0.6229,0.581,0.6295,0.4478
0.4,1.1,0.4,1.3,0.94,0.57,0.6352,0.5452,0.6661,0.4337
0.4,1.2,0.8,1.1,0.95,0.5699,0.6272,0.548,0.6758,0.4286
0.8,1.1,0.4,1.5,0.9,0.5699,0.634,0.5492,0.6573,0.4392
0.4,1.2,0.4,1.2,0.95,0.5697,0.6267,0.5479,0.6758,0.4286
0.0,2.0,0.8,1.2,0.94,0.5695,0.6437,0.5464,0.6466,0.4414
0.0,1.1,0.8,1.2,0.94,0.5695,0.6437,0.5464,0.6466,0.4414
0.0,1.2,0.8,1.2,0.94,0.5695,0.6437,0.5464,0.6466,0.4414
0.0,1.3,0.8,1.2,0.94,0.5695,0.6437,0.5464,0.6466,0.4414
0.0,1.5,0.8,1.2,0.94,0.5695,0.6437,0.5464,0.6466,0.4414
