beta,overall,w_dtw,r_lgbm,r_tcn,lgbm_cf,tcn_cf,cf,B1,B2,B3,B4
0.0,0.5826454044961069,0.79,0.45,0.55,0.7400000000000002,0.8200000000000003,1.1100000000000005,0.6146,0.6132,0.6389,0.4638
0.1,0.5745474438714409,0.81,0.55,0.45,0.7500000000000002,0.7500000000000002,1.0900000000000005,0.6131,0.6024,0.6491,0.4336
0.2,0.5699576470227179,0.79,0.7,0.3,0.7100000000000002,0.6000000000000001,1.1100000000000005,0.6122,0.5961,0.6372,0.4342
0.3,0.5644864358086165,0.78,0.7,0.3,0.7400000000000002,0.5900000000000001,1.1200000000000006,0.6108,0.5947,0.6116,0.4409
0.4,0.5632013151738979,0.8300000000000001,0.7,0.3,0.7200000000000002,0.5900000000000001,1.0700000000000005,0.6096,0.5656,0.644,0.4335
0.5,0.5628650019730651,0.8300000000000001,0.7,0.3,0.6500000000000001,0.6000000000000001,1.0800000000000005,0.6102,0.5546,0.6543,0.4325
0.6,0.56103175260811,0.8300000000000001,0.7,0.3,0.55,0.5900000000000001,1.0900000000000005,0.6104,0.5475,0.6551,0.4311
0.7,0.5632584143443813,0.81,0.7,0.3,0.6000000000000001,0.6300000000000001,1.1000000000000005,0.6125,0.5559,0.6477,0.4369
0.8,0.5643392800517104,0.9000000000000001,0.7,0.3,1.1200000000000006,0.6600000000000001,1.0100000000000005,0.6197,0.5489,0.6529,0.4358
0.9,0.5664131555394697,0.8800000000000001,0.7,0.3,1.1500000000000006,0.6700000000000002,1.0100000000000005,0.6295,0.5496,0.6446,0.442
1.0,0.5691836820616273,0.8600000000000001,0.7,0.3,1.1700000000000006,0.6900000000000002,1.0200000000000005,0.6404,0.5536,0.6319,0.4508
