beta,w_dtw,r_lgbm,lgbm_cf,tcn_cf,cf,overall,B1,B2,B3,B4
0.0,0.78,0.55,0.74,0.82,1.1,0.5814,0.6107,0.6107,0.6438,0.4603
0.0,0.78,0.65,0.74,0.82,1.09,0.5801,0.6081,0.6082,0.6483,0.4556
0.0,0.78,0.45,0.74,0.82,1.1,0.5822,0.6114,0.6098,0.6453,0.4624
0.0,0.78,0.7,0.74,0.82,1.09,0.5794,0.6079,0.6084,0.6471,0.4541
0.0,0.79,0.55,0.74,0.82,1.1,0.5816,0.6124,0.6101,0.644,0.4599
0.0,0.79,0.65,0.74,0.82,1.09,0.5803,0.6101,0.6074,0.6486,0.4552
0.0,0.79,0.45,0.74,0.82,1.11,0.5826,0.6146,0.6132,0.6389,0.4638
0.0,0.79,0.7,0.74,0.82,1.1,0.5795,0.6111,0.6106,0.6407,0.4558
0.0,0.8,0.55,0.74,0.82,1.1,0.5816,0.6136,0.6092,0.6441,0.4596
0.0,0.8,0.65,0.74,0.82,1.1,0.5801,0.6127,0.6087,0.6424,0.4568
0.0,0.8,0.45,0.74,0.82,1.11,0.5825,0.6156,0.6123,0.639,0.4632
0.0,0.8,0.7,0.74,0.82,1.1,0.5793,0.6121,0.6084,0.6414,0.4551
0.0,0.81,0.55,0.74,0.82,1.1,0.5811,0.6143,0.6071,0.6442,0.4588
0.0,0.81,0.65,0.74,0.82,1.09,0.5797,0.6126,0.6033,0.6492,0.454
0.0,0.81,0.45,0.74,0.82,1.1,0.5822,0.6154,0.6076,0.645,0.4606
0.0,0.81,0.7,0.74,0.82,1.09,0.5789,0.6121,0.6031,0.6484,0.4521
0.0,0.82,0.55,0.74,0.82,1.09,0.5806,0.6141,0.6018,0.6505,0.4561
0.0,0.82,0.65,0.74,0.82,1.09,0.5792,0.6127,0.6015,0.6493,0.4532
0.0,0.82,0.45,0.74,0.82,1.1,0.5814,0.6152,0.6056,0.6448,0.4602
0.0,0.82,0.7,0.74,0.82,1.08,0.5785,0.612,0.5979,0.6546,0.4493
0.0,0.83,0.55,0.74,0.82,1.08,0.5797,0.614,0.5968,0.6545,0.4534
0.0,0.83,0.65,0.74,0.82,1.08,0.5786,0.6127,0.596,0.6553,0.4503
0.0,0.83,0.45,0.74,0.82,1.09,0.5806,0.6149,0.6005,0.6493,0.4577
0.0,0.83,0.7,0.74,0.82,1.08,0.5777,0.6117,0.5954,0.6548,0.4488
0.0,0.84,0.55,0.74,0.82,1.08,0.5783,0.6127,0.5939,0.6541,0.4525
0.0,0.84,0.65,0.74,0.82,1.07,0.5771,0.6127,0.5889,0.6592,0.4475
0.0,0.84,0.45,0.74,0.82,1.08,0.5795,0.6147,0.5951,0.6532,0.4548
0.0,0.84,0.7,0.74,0.82,1.07,0.5765,0.6118,0.5884,0.6596,0.4463
0.0,0.85,0.55,0.74,0.82,1.07,0.5767,0.6127,0.5869,0.6579,0.4494
0.0,0.85,0.65,0.74,0.82,1.06,0.5757,0.6127,0.5822,0.6631,0.4449
0.0,0.85,0.45,0.74,0.82,1.07,0.578,0.6145,0.5879,0.6573,0.4521
0.0,0.85,0.7,0.74,0.82,1.06,0.5752,0.612,0.5815,0.6635,0.4439
0.0,0.86,0.55,0.74,0.82,1.06,0.5754,0.6127,0.5802,0.662,0.4465
0.0,0.86,0.65,0.74,0.82,1.06,0.5743,0.6109,0.5794,0.6627,0.4444
0.0,0.86,0.45,0.74,0.82,1.06,0.5764,0.6143,0.5812,0.6614,0.4488
0.0,0.86,0.7,0.74,0.82,1.06,0.5738,0.61,0.5789,0.663,0.4433
0.0,0.87,0.55,0.74,0.82,1.05,0.5739,0.6127,0.574,0.665,0.4437
0.0,0.87,0.65,0.74,0.82,1.05,0.5729,0.6111,0.573,0.6659,0.4416
0.0,0.87,0.45,0.74,0.82,1.06,0.5748,0.6121,0.5783,0.6609,0.4478
0.0,0.87,0.7,0.74,0.82,1.05,0.5723,0.6103,0.5724,0.6663,0.4403
0.0,0.88,0.55,0.74,0.82,1.05,0.5723,0.6105,0.5714,0.6643,0.4431
0.0,0.88,0.65,0.74,0.82,1.05,0.5713,0.6087,0.5706,0.6653,0.4408
0.0,0.88,0.45,0.74,0.82,1.05,0.5731,0.612,0.5722,0.6634,0.4448
0.0,0.88,0.7,0.74,0.82,1.05,0.5708,0.6079,0.5701,0.6656,0.4397
0.0,0.89,0.55,0.74,0.82,1.04,0.5706,0.6106,0.5656,0.6665,0.4398
0.0,0.89,0.65,0.74,0.82,1.04,0.5698,0.6091,0.5647,0.6674,0.4379
0.0,0.89,0.45,0.74,0.82,1.04,0.5715,0.612,0.5664,0.6656,0.442
0.0,0.89,0.7,0.74,0.82,1.04,0.5694,0.6083,0.5643,0.6679,0.4369
0.0,0.9,0.55,0.74,0.82,1.04,0.569,0.6075,0.5635,0.666,0.4389
0.0,0.9,0.65,0.74,0.82,1.03,0.5682,0.6095,0.5592,0.6688,0.4351
0.0,0.9,0.45,0.74,0.82,1.04,0.5698,0.609,0.5642,0.6652,0.4408
0.0,0.9,0.7,0.74,0.82,1.03,0.5678,0.6088,0.5589,0.6692,0.4343
0.0,0.91,0.55,0.74,0.82,1.03,0.5674,0.6078,0.5582,0.6675,0.4359
0.0,0.91,0.65,0.74,0.82,1.03,0.5667,0.6064,0.5576,0.6683,0.4345
0.0,0.91,0.45,0.74,0.82,1.03,0.5681,0.6092,0.5589,0.6668,0.4374
0.0,0.91,0.7,0.74,0.82,1.03,0.5664,0.6057,0.5572,0.6687,0.4339
0.0,0.92,0.55,0.74,0.82,1.02,0.5658,0.6082,0.5534,0.6687,0.4331
0.0,0.92,0.65,0.74,0.82,1.02,0.5653,0.607,0.5528,0.6694,0.432
0.0,0.92,0.45,0.74,0.82,1.02,0.5664,0.6095,0.554,0.668,0.4343
0.0,0.92,0.7,0.74,0.82,1.02,0.565,0.6064,0.5525,0.6697,0.4315
0.0,0.93,0.55,0.74,0.82,1.02,0.5644,0.6046,0.5522,0.6682,0.4325
0.0,0.93,0.65,0.74,0.82,1.02,0.5639,0.6035,0.5517,0.6688,0.4316
0.0,0.93,0.45,0.74,0.82,1.02,0.5649,0.6058,0.5527,0.6675,0.4335
0.0,0.93,0.7,0.74,0.82,1.02,0.5636,0.6029,0.5515,0.6692,0.431
0.1,0.78,0.55,0.75,0.75,1.1,0.5734,0.6102,0.6082,0.641,0.4344
0.1,0.78,0.65,0.75,0.75,1.09,0.5735,0.6077,0.6071,0.6449,0.4342
0.1,0.78,0.45,0.75,0.75,1.1,0.5732,0.6108,0.6064,0.6436,0.4318
0.1,0.78,0.7,0.75,0.75,1.09,0.5735,0.6075,0.608,0.6434,0.4352
0.1,0.79,0.55,0.75,0.75,1.1,0.5739,0.6118,0.6074,0.6416,0.435
0.1,0.79,0.65,0.75,0.75,1.09,0.574,0.6096,0.6063,0.6455,0.4345
0.1,0.79,0.45,0.75,0.75,1.1,0.5737,0.6126,0.6055,0.6441,0.4324
