alpha_lgbm,cap_lgbm,alpha_tcn,cap_tcn,cf,overall,B1,B2,B3,B4
0.4,2.0,1.0,2.0,0.94,0.6064,0.6213,0.6203,0.6513,0.5328
0.4,1.5,1.0,2.0,0.95,0.6057,0.6188,0.6162,0.6529,0.535
0.2,2.0,1.0,2.0,0.96,0.6049,0.6147,0.6079,0.6599,0.5371
0.6,1.3,1.0,2.0,0.94,0.6044,0.6213,0.6195,0.6442,0.5325
0.6,1.5,1.0,2.0,0.94,0.6043,0.6216,0.6267,0.635,0.5339
0.8,1.3,1.0,2.0,0.94,0.6041,0.6218,0.6309,0.6288,0.5348
0.4,1.3,1.0,2.0,0.95,0.6039,0.6186,0.6114,0.6512,0.5342
0.2,1.5,1.0,2.0,0.96,0.6033,0.6145,0.6045,0.6579,0.5364
0.6,1.2,1.0,2.0,0.94,0.6032,0.6212,0.6131,0.6462,0.5326
0.8,1.2,1.0,2.0,0.94,0.6031,0.6216,0.6221,0.6341,0.5346
0.6,2.0,1.0,2.0,0.94,0.6027,0.6221,0.634,0.6187,0.5362
0.4,1.2,1.0,2.0,0.95,0.6024,0.6185,0.6065,0.6504,0.5343
1.0,1.2,1.0,2.0,0.93,0.6023,0.6224,0.6276,0.6262,0.533
1.0,1.3,1.0,2.0,0.93,0.602,0.6226,0.6385,0.6135,0.5333
0.8,1.5,1.0,2.0,0.93,0.6017,0.6225,0.6363,0.6151,0.5328
0.2,1.3,1.0,2.0,0.96,0.6016,0.6144,0.6023,0.6538,0.536
0.8,1.1,1.0,2.0,0.94,0.6014,0.6211,0.606,0.6446,0.5339
0.6,1.1,1.0,2.0,0.95,0.6013,0.6186,0.6036,0.6471,0.5358
1.0,1.1,1.0,2.0,0.94,0.6008,0.6215,0.6111,0.6347,0.5358
0.4,1.1,1.0,2.0,0.96,0.6006,0.6146,0.6011,0.6491,0.5377
0.2,1.2,1.0,2.0,0.97,0.6005,0.6097,0.6026,0.6499,0.5397
1.0,1.5,1.0,2.0,0.93,0.5996,0.6231,0.6492,0.5901,0.5359
0.8,2.0,1.0,2.0,0.93,0.5994,0.6231,0.6419,0.5965,0.536
0.4,2.0,0.8,2.0,0.95,0.5992,0.6174,0.6118,0.657,0.5106
0.2,1.1,1.0,2.0,0.97,0.5991,0.6096,0.5986,0.6486,0.5396
0.4,1.5,0.8,2.0,0.96,0.5989,0.6134,0.6081,0.6615,0.5127
0.8,1.3,0.8,2.0,0.94,0.5987,0.6201,0.6202,0.645,0.5097
0.6,1.3,0.8,2.0,0.95,0.5986,0.6174,0.6121,0.6539,0.5109
0.6,1.5,0.8,2.0,0.94,0.5983,0.6199,0.6165,0.6483,0.5085
0.8,1.2,0.8,2.0,0.95,0.5982,0.6177,0.6152,0.6468,0.513
1.0,1.2,0.8,2.0,0.94,0.5981,0.6204,0.6212,0.6393,0.5117
0.6,2.0,0.8,2.0,0.94,0.5975,0.6204,0.627,0.6321,0.5106
0.6,1.2,0.8,2.0,0.95,0.5975,0.6173,0.6059,0.6558,0.511
0.4,1.3,0.8,2.0,0.96,0.5973,0.6132,0.6038,0.66,0.5122
1.0,1.3,0.8,2.0,0.94,0.5972,0.6206,0.6306,0.6254,0.5121
