asym,alpha_lgbm,cap_lgbm,cf,overall,B1,B2,B3,B4
1.0,0.8,1.3,0.94,0.608,0.6216,0.629,0.6462,0.535
1.0,1.0,1.3,0.94,0.6068,0.6221,0.6379,0.6297,0.5375
1.0,0.6,1.3,0.95,0.6066,0.619,0.6209,0.6499,0.5366
1.0,0.4,1.5,0.96,0.606,0.615,0.6148,0.6555,0.5387
1.0,0.6,1.5,0.94,0.6055,0.6214,0.62,0.6474,0.5334
1.0,0.4,2.0,0.95,0.6054,0.619,0.6135,0.654,0.5351
1.0,0.4,1.3,0.96,0.6045,0.6148,0.6133,0.6516,0.5382
1.0,0.6,2.0,0.94,0.6038,0.6218,0.6217,0.6379,0.5339
1.0,0.8,1.5,0.94,0.6037,0.622,0.6293,0.6275,0.5362
1.0,0.2,2.0,0.97,0.6027,0.6099,0.6063,0.6544,0.5402
1.0,0.2,1.5,0.97,0.6025,0.6098,0.6063,0.6539,0.5401
1.0,1.0,1.5,0.93,0.6017,0.6228,0.6361,0.613,0.535
1.0,0.2,1.3,0.97,0.6013,0.6097,0.6046,0.6512,0.5398
1.0,0.8,2.0,0.94,0.6011,0.6226,0.6295,0.6155,0.537
1.0,1.0,2.0,0.93,0.5982,0.6235,0.6332,0.6002,0.5359
1.5,0.4,1.5,0.95,0.6056,0.6189,0.6166,0.6507,0.536
1.5,0.6,1.3,0.94,0.6053,0.6215,0.6225,0.6423,0.5349
1.5,0.8,1.3,0.94,0.605,0.6221,0.6333,0.6263,0.5382
1.5,0.4,1.3,0.95,0.6045,0.6188,0.6136,0.6501,0.5358
1.5,0.6,1.5,0.94,0.6037,0.6218,0.6259,0.6315,0.5354
1.5,0.2,2.0,0.96,0.6036,0.6147,0.6041,0.6586,0.5369
1.5,0.2,1.5,0.96,0.6034,0.6146,0.6058,0.6566,0.5367
1.5,0.4,2.0,0.94,0.6033,0.6214,0.6121,0.6474,0.5324
1.5,1.0,1.3,0.92,0.603,0.6219,0.6385,0.6184,0.5333
1.5,0.2,1.3,0.96,0.602,0.6145,0.6034,0.6536,0.5366
1.5,0.8,1.5,0.93,0.6005,0.6227,0.6339,0.6104,0.5349
1.5,0.6,2.0,0.94,0.5992,0.6222,0.6258,0.6128,0.536
1.5,1.0,1.5,0.93,0.5979,0.6234,0.6453,0.5843,0.5384
1.5,0.8,2.0,0.93,0.5955,0.6233,0.6338,0.5893,0.5357
1.5,1.0,2.0,0.92,0.5922,0.6231,0.6399,0.5704,0.5353
2.0,0.4,2.0,0.94,0.6062,0.6212,0.614,0.6574,0.5323
2.0,0.4,1.5,0.95,0.6059,0.6187,0.6125,0.6567,0.5357
2.0,0.8,1.3,0.94,0.6057,0.6216,0.6301,0.634,0.5372
2.0,0.6,1.3,0.94,0.6053,0.6211,0.619,0.6469,0.5342
2.0,0.6,1.5,0.94,0.6045,0.6214,0.6217,0.6402,0.5349
2.0,0.4,1.3,0.95,0.6044,0.6185,0.6111,0.6528,0.5352
2.0,0.2,2.0,0.96,0.6041,0.6146,0.6056,0.6591,0.5368
2.0,1.0,1.3,0.93,0.6036,0.6223,0.6358,0.6202,0.5361
2.0,0.6,2.0,0.94,0.6034,0.6219,0.6286,0.6273,0.5359
2.0,0.2,1.5,0.96,0.6031,0.6144,0.6038,0.6577,0.5365
2.0,0.2,1.3,0.96,0.6018,0.6143,0.6022,0.6544,0.5363
2.0,0.8,1.5,0.94,0.6018,0.622,0.6324,0.6146,0.5383
2.0,0.8,2.0,0.93,0.5998,0.6228,0.6353,0.6055,0.5355
2.0,1.0,1.5,0.93,0.5994,0.6228,0.6396,0.5976,0.5375
2.0,1.0,2.0,0.93,0.5957,0.6236,0.639,0.5808,0.5394
2.5,0.4,2.0,0.94,0.6054,0.6213,0.6135,0.6539,0.5329
2.5,0.4,1.5,0.95,0.6052,0.6188,0.6112,0.6556,0.5351
2.5,0.2,2.0,0.96,0.6043,0.6146,0.6054,0.6602,0.5371
2.5,0.6,1.3,0.94,0.604,0.6213,0.6182,0.6436,0.5328
2.5,0.4,1.3,0.95,0.6036,0.6186,0.6104,0.6512,0.5344
2.5,0.8,1.3,0.94,0.6035,0.6218,0.6288,0.6282,0.5353
2.5,0.6,1.5,0.94,0.6034,0.6216,0.6202,0.6376,0.5341
2.5,0.2,1.5,0.96,0.603,0.6145,0.6029,0.6582,0.5364
2.5,0.6,2.0,0.94,0.6023,0.622,0.6286,0.6219,0.5365
2.5,0.2,1.3,0.96,0.6016,0.6144,0.6018,0.654,0.536
2.5,1.0,1.3,0.93,0.6009,0.6226,0.6341,0.6129,0.5341
2.5,0.8,1.5,0.93,0.6,0.6224,0.6265,0.6176,0.5333
2.5,0.8,2.0,0.93,0.5985,0.6231,0.6348,0.5995,0.5366
2.5,1.0,1.5,0.93,0.5971,0.623,0.6357,0.5928,0.5367
2.5,1.0,2.0,0.92,0.5936,0.6228,0.6347,0.58,0.5369
2.8,0.4,2.0,0.94,0.6064,0.6213,0.6203,0.6513,0.5328
2.8,0.4,1.5,0.95,0.6057,0.6188,0.6162,0.6529,0.535
2.8,0.2,2.0,0.96,0.6049,0.6147,0.6079,0.6599,0.5371
2.8,0.6,1.3,0.94,0.6044,0.6213,0.6195,0.6442,0.5325
2.8,0.6,1.5,0.94,0.6043,0.6216,0.6267,0.635,0.5339
2.8,0.8,1.3,0.94,0.6041,0.6218,0.6309,0.6288,0.5348
2.8,0.4,1.3,0.95,0.6039,0.6186,0.6114,0.6512,0.5342
2.8,0.2,1.5,0.96,0.6033,0.6145,0.6045,0.6579,0.5364
2.8,0.6,2.0,0.94,0.6027,0.6221,0.634,0.6187,0.5362
2.8,1.0,1.3,0.93,0.602,0.6226,0.6385,0.6135,0.5333
2.8,0.8,1.5,0.93,0.6017,0.6225,0.6363,0.6151,0.5328
2.8,0.2,1.3,0.96,0.6016,0.6144,0.6023,0.6538,0.536
2.8,1.0,1.5,0.93,0.5996,0.6231,0.6492,0.5901,0.5359
2.8,0.8,2.0,0.93,0.5994,0.6231,0.6419,0.5965,0.536
2.8,1.0,2.0,0.92,0.5952,0.6229,0.6457,0.5763,0.5359
3.5,0.4,2.0,0.94,0.6079,0.6215,0.6206,0.6575,0.5318
3.5,0.4,1.5,0.95,0.6063,0.619,0.6168,0.6552,0.5341
3.5,0.6,2.0,0.94,0.6053,0.6224,0.6368,0.6269,0.5352
3.5,0.6,1.5,0.94,0.6051,0.6219,0.629,0.637,0.5327
3.5,0.8,1.3,0.94,0.605,0.6223,0.6343,0.6287,0.5348
3.5,0.6,1.3,0.94,0.6049,0.6216,0.6216,0.6441,0.5324
3.5,0.2,2.0,0.96,0.6046,0.6148,0.608,0.6591,0.5365
3.5,0.4,1.3,0.95,0.6041,0.6188,0.6119,0.6514,0.5341
3.5,0.2,1.5,0.96,0.6033,0.6146,0.6048,0.658,0.5358
3.5,1.0,1.3,0.93,0.6033,0.6232,0.6435,0.6133,0.5333
3.5,0.8,1.5,0.93,0.6028,0.6229,0.64,0.6165,0.5315
3.5,0.8,2.0,0.93,0.6022,0.6236,0.6463,0.6037,0.5351
3.5,0.2,1.3,0.96,0.6017,0.6145,0.6026,0.6539,0.5359
3.5,1.0,1.5,0.93,0.6009,0.6236,0.6547,0.5907,0.5347
3.5,1.0,2.0,0.92,0.5982,0.6235,0.6506,0.5836,0.535
