model,cf,cal_score,B1,B2,B3,B4
bilstm,0.78,0.5701,0.3018,0.6616,0.7445,0.5724
dtw,0.68,0.5499,0.5808,0.5344,0.6617,0.4226
dtw_exp,0.68,0.5431,0.5808,0.5094,0.6594,0.4227
dtw_adk,0.7,0.5417,0.5634,0.5315,0.6458,0.426
tcn_res,0.8,0.5315,0.3306,0.5881,0.6444,0.5631
transformer,0.95,0.5214,0.3443,0.5155,0.5613,0.6643
tcn,0.82,0.517,0.3292,0.5572,0.6379,0.5437
lgbm,0.74,0.5039,0.371,0.5724,0.6411,0.4311
lgbm_a15,0.74,0.5038,0.3975,0.5635,0.6333,0.421
lgbm_hif,0.77,0.4922,0.3932,0.5648,0.5818,0.429
ridge,0.53,0.4198,0.4085,0.4236,0.4603,0.3868
